model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-0.5b,cold,0.0,1,1.3849847316741943,26.17553441849926,7.612097978591919,627.65234375,757.5011465485902,70.66721052631578,37,1,9.6520,162,163,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_cold_temp_0_0_1.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_cold_temp_0_0_1_final.txt
qwen2.5-0.5b,cold,0.0,2,1.3565888404846191,25.927966700219255,7.643858909606934,627.66796875,758.5344880735462,68.79692105263159,37,1,9.6520,162,163,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_cold_temp_0_0_2.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_cold_temp_0_0_2_final.txt
qwen2.5-0.5b,cold,0.0,3,1.3826897144317627,25.97934562331702,7.6575257778167725,627.76171875,755.8450240388422,67.7524736842105,37,1,9.6520,162,163,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_cold_temp_0_0_3.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_cold_temp_0_0_3_final.txt
qwen2.5-0.5b,cold,0.0,4,1.3918521404266357,26.010425233750745,7.658302068710327,627.5546875,756.0883484875616,66.9995,37,1,9.6520,162,163,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_cold_temp_0_0_4.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_cold_temp_0_0_4_final.txt
qwen2.5-0.5b,cold,0.0,5,1.394362449645996,25.983312974424614,7.667593717575073,627.484375,755.1564379469604,66.65944736842106,37,1,9.6520,162,163,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_cold_temp_0_0_5.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_cold_temp_0_0_5_final.txt
qwen2.5-0.5b,cold,0.0,6,1.3569324016571045,25.972540173385028,7.633364677429199,627.703125,757.0688112052001,66.41655263157894,37,1,9.6520,162,163,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_cold_temp_0_0_6.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_cold_temp_0_0_6_final.txt
qwen2.5-0.5b,cold,0.0,7,1.3725519180297852,26.230951782843764,7.586023807525635,627.5234375,757.8593014037691,66.19792105263156,37,1,9.6520,162,163,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_cold_temp_0_0_7.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_cold_temp_0_0_7_final.txt
qwen2.5-0.5b,cold,0.0,8,1.3931403160095215,25.944420684165515,7.675519943237305,627.69140625,754.8037631472644,65.8821578947368,37,1,9.6520,162,163,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_cold_temp_0_0_8.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_cold_temp_0_0_8_final.txt
qwen2.5-0.5b,cold,0.0,9,1.3770229816436768,25.873972799311467,7.676497459411621,627.56640625,754.9883612159997,65.8821578947368,37,1,9.6520,162,163,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_cold_temp_0_0_9.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_cold_temp_0_0_9_final.txt
qwen2.5-0.5b,cold,0.0,10,1.381803274154663,25.982915356429007,7.655154705047607,627.57421875,756.3847929366782,65.83357894736838,37,1,9.6520,162,163,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_cold_temp_0_0_10.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_cold_temp_0_0_10_final.txt
qwen2.5-0.5b,cold,0.0,11,1.3730659484863281,26.12012887639538,7.613311767578125,627.921875,757.4210055135959,65.83357894736838,37,1,9.6520,162,163,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_cold_temp_0_0_11.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_cold_temp_0_0_11_final.txt
qwen2.5-0.5b,cold,0.0,12,1.382775068283081,26.167243683821354,7.612562894821167,627.39453125,756.8371313167187,65.83357894736838,37,1,9.6520,162,163,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_cold_temp_0_0_12.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_cold_temp_0_0_12_final.txt
qwen2.5-0.5b,cold,0.0,13,1.3728668689727783,26.157136348807178,7.60486912727356,627.8359375,755.6252918231188,65.90644736842103,37,1,9.6520,162,163,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_cold_temp_0_0_13.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_cold_temp_0_0_13_final.txt
