model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-0.5b,warm,0.5,1,0.08419609069824219,25.424075566708606,7.6353747844696045,630.234375,754.3447976453103,67.82534210526315,37,1,9.6520,192,192,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_warm_temp_0_5_1.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_warm_temp_0_5_1_final.txt
qwen2.5-0.5b,warm,0.5,2,0.08639788627624512,26.25580704607402,4.3510003089904785,633.578125,752.4037490661502,69.22309090909091,21,1,9.6520,111,112,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_warm_temp_0_5_2.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_warm_temp_0_5_2_final.txt
qwen2.5-0.5b,warm,0.5,3,0.0902411937713623,26.147192110435537,4.794018030166626,636.15234375,753.088873535379,69.92233333333334,23,1,9.6520,122,123,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_warm_temp_0_5_3.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_warm_temp_0_5_3_final.txt
qwen2.5-0.5b,warm,0.5,4,0.08955049514770508,26.194984119628444,3.792909860610962,638.7265625,749.0799390553714,70.52147368421053,18,1,9.6520,96,97,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_warm_temp_0_5_4.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_warm_temp_0_5_4_final.txt
qwen2.5-0.5b,warm,0.5,5,0.09696578979492188,26.4224466726098,2.708749532699585,640.78515625,748.431737645588,71.08707142857143,13,1,9.6520,68,69,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_warm_temp_0_5_5.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_warm_temp_0_5_5_final.txt
qwen2.5-0.5b,warm,0.5,6,0.07690668106079102,25.999017007754016,5.3066558837890625,640.78515625,753.0097245403772,71.35811111111113,26,1,9.6520,135,136,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_warm_temp_0_5_6.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_warm_temp_0_5_6_final.txt
qwen2.5-0.5b,warm,0.5,7,0.08127832412719727,26.088807486539068,5.141114950180054,643.61328125,754.2843702589914,71.79200000000002,25,1,9.6520,131,132,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_warm_temp_0_5_7.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_warm_temp_0_5_7_final.txt
qwen2.5-0.5b,warm,0.5,8,0.09229373931884766,25.622417233276952,5.633745908737183,646.1875,749.7455301240262,72.27403571428572,27,1,9.6520,141,142,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_warm_temp_0_5_8.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_warm_temp_0_5_8_final.txt
qwen2.5-0.5b,warm,0.5,9,0.09356307983398438,25.676025142209816,6.597420692443848,649.26953125,751.5971258567497,72.5520303030303,32,1,9.6520,166,167,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_warm_temp_0_5_9.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_warm_temp_0_5_9_final.txt
qwen2.5-0.5b,warm,0.5,10,0.09007811546325684,26.18258873101381,4.023508787155151,652.35546875,752.6145257038094,72.95375,19,1,9.6520,102,103,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_warm_temp_0_5_10.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_warm_temp_0_5_10_final.txt
qwen2.5-0.5b,warm,0.5,11,0.0927269458770752,25.771851488984186,4.942538022994995,654.671875,751.8776739362725,73.11076,24,1,9.6520,124,125,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_warm_temp_0_5_11.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_warm_temp_0_5_11_final.txt
qwen2.5-0.5b,warm,0.5,12,0.08180713653564453,25.846906189946324,6.2709877490997314,657.24609375,754.3568096854337,73.66340624999998,31,1,9.6520,159,160,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_warm_temp_0_5_12.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-0.5b_warm_temp_0_5_12_final.txt
