model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-3b,cold,0.7,1,4.173556804656982,7.140138596416862,15.236963272094727,3748.53515625,726.41101357039,73.44907894736836,75,1,6.8150,78,79,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_1.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_1_final.txt
qwen2.5-3b,cold,0.7,2,4.187814712524414,7.206391039367485,12.929906368255615,3748.94140625,721.5060134583252,70.51867187499998,63,1,6.8150,62,63,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_2.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_2_final.txt
qwen2.5-3b,cold,0.7,3,4.184429407119751,7.200015327490257,12.377943992614746,3748.57421875,717.819920462359,69.15812903225802,61,1,6.8150,58,59,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_3.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_3_final.txt
qwen2.5-3b,cold,0.7,4,4.107404708862305,7.195996742942992,12.166317701339722,3748.61328125,719.2864382953125,68.06624590163932,60,1,6.8150,57,58,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_4.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_4_final.txt
qwen2.5-3b,cold,0.7,5,4.196583032608032,7.173782489548483,12.977888345718384,3748.890625,717.9644150790903,67.08601562499993,63,1,6.8150,62,63,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_5.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_5_final.txt
qwen2.5-3b,cold,0.7,6,4.219475507736206,7.058532610187959,17.110644817352295,3748.74609375,725.5547762147189,67.31982352941164,84,1,6.8150,90,91,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_6.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_6_final.txt
qwen2.5-3b,cold,0.7,7,4.188049554824829,7.208477034881821,16.11856245994568,3748.875,728.1239338554356,67.23023749999987,79,1,6.8150,85,86,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_7.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_7_final.txt
qwen2.5-3b,cold,0.7,8,4.215008497238159,7.185433600568821,13.259936809539795,3748.5,722.2017069468607,66.37015151515143,65,1,6.8150,64,65,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_8.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_8_final.txt
qwen2.5-3b,cold,0.7,9,4.148972511291504,7.30928321720997,11.39991307258606,3748.87109375,718.860717102277,65.76071929824558,56,1,6.8150,52,53,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_9.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_9_final.txt
qwen2.5-3b,cold,0.7,10,4.140100717544556,7.145290520851714,12.395656108856201,3748.98046875,717.101616320074,65.34699999999994,61,1,6.8150,58,59,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_10.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_10_final.txt
qwen2.5-3b,cold,0.7,11,4.176401376724243,7.1437028312070145,13.693798780441284,3749.09375,720.6630309269332,65.27561764705878,67,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_11.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_11_final.txt
qwen2.5-3b,cold,0.7,12,4.194825649261475,7.164595368097523,16.058269262313843,3748.97265625,727.7414599020746,65.78802499999996,79,1,6.8150,84,85,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_12.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_12_final.txt
qwen2.5-3b,cold,0.7,13,4.2219109535217285,7.133876665373519,20.061809062957764,3748.83203125,734.8395279560965,66.5564299999999,99,1,6.8150,112,113,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_13.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_13_final.txt
qwen2.5-3b,cold,0.7,14,4.206958293914795,7.163587594466367,15.094672441482544,3749.0859375,725.508951529574,65.89801333333328,74,1,6.8150,77,78,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_14.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_14_final.txt
qwen2.5-3b,cold,0.7,15,4.221547842025757,7.22423541345033,13.07913613319397,3748.69921875,719.3771731695568,65.3593538461538,64,1,6.8150,63,64,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_15.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_15_final.txt
qwen2.5-3b,cold,0.7,16,4.1630847454071045,7.207403602951441,14.290786504745483,3748.9140625,725.6410204538655,65.44594366197178,70,1,6.8150,72,73,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_16.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_16_final.txt
qwen2.5-3b,cold,0.7,17,4.196490287780762,7.282365593929711,12.434556245803833,3748.80078125,719.9040170206287,64.90033870967736,61,1,6.8150,59,60,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_17.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_17_final.txt
qwen2.5-3b,cold,0.7,18,4.167168140411377,7.1589247046087605,20.230987310409546,3748.66015625,736.0133617817077,66.13585148514846,100,1,6.8150,114,115,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_18.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_18_final.txt
qwen2.5-3b,cold,0.7,19,4.13395357131958,7.171543316121629,14.312756061553955,3748.78515625,724.3537904189254,65.60195774647883,70,1,6.8150,72,73,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_19.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_19_final.txt
qwen2.5-3b,cold,0.7,20,4.1899027824401855,7.093423977833871,17.582871437072754,3748.796875,729.469483105206,65.81651724137929,86,1,6.8150,94,95,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_20.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_20_final.txt
qwen2.5-3b,cold,0.7,21,4.1876959800720215,7.259886828116437,13.41523265838623,3749.125,721.9421676136103,65.20165671641784,66,1,6.8150,66,67,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_21.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_21_final.txt
qwen2.5-3b,cold,0.7,22,4.2495081424713135,7.209585950298174,13.681370973587036,3748.58984375,720.6336715226223,64.86838235294114,67,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_22.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_22_final.txt
qwen2.5-3b,cold,0.7,23,4.181464195251465,7.274414440894757,12.97871994972229,3748.66015625,720.6840480727616,64.73450769230764,64,1,6.8150,63,64,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_23.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_23_final.txt
qwen2.5-3b,cold,0.7,24,4.173218488693237,7.144441088999677,18.731512784957886,3748.9375,732.4705265237773,65.62486021505376,92,1,6.8150,103,104,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_24.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_24_final.txt
qwen2.5-3b,cold,0.7,25,4.197449684143066,7.163452725436612,20.53076171875,3748.984375,735.0508795820683,66.43743564356429,100,1,6.8150,116,117,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_25.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_25_final.txt
qwen2.5-3b,cold,0.7,26,4.165135622024536,7.264290398257949,12.285809755325317,3748.84765625,717.6783555312327,65.34260655737698,60,1,6.8150,58,59,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_26.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_26_final.txt
qwen2.5-3b,cold,0.7,27,4.175981760025024,7.184494441408588,15.727951765060425,3748.98828125,727.5283839241739,65.48476923076919,77,1,6.8150,82,83,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_27.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_27_final.txt
qwen2.5-3b,cold,0.7,28,4.219244718551636,7.22590101794673,16.258398056030273,3748.7109375,728.148613720841,65.72890123456786,80,1,6.8150,86,87,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_28.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_28_final.txt
qwen2.5-3b,cold,0.7,29,4.1596550941467285,7.159213869097577,13.098421573638916,3749.0390625,721.4998799164092,65.10373846153843,64,1,6.8150,63,64,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_29.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_29_final.txt
qwen2.5-3b,cold,0.7,30,4.213426351547241,7.218263101707567,12.247392416000366,3748.83984375,717.6184174877812,64.55572131147537,60,1,6.8150,57,58,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_30.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-3b_cold_temp_0_7_30_final.txt
