model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-7b,warm,0.5,1,0.3568732738494873,3.1525730105108236,27.95323610305786,8712.1015625,693.5334618908992,69.38057246376792,137,1,6.3164,86,87,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_1.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_1_final.txt
qwen2.5-7b,warm,0.5,2,0.3559119701385498,3.1667688693953067,24.984994173049927,8712.1015625,692.8555126278252,70.80315322580655,123,1,6.3164,77,78,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_2.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_2_final.txt
qwen2.5-7b,warm,0.5,3,0.3521709442138672,3.1564946930030087,28.865479469299316,8712.1015625,693.9134442061124,71.59191608391593,142,1,6.3164,89,90,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_3.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_3_final.txt
qwen2.5-7b,warm,0.5,4,0.3549485206604004,3.154513779428285,24.76423931121826,8712.1015625,693.0660784670597,72.23504918032785,121,1,6.3164,76,77,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_4.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_4_final.txt
qwen2.5-7b,warm,0.5,5,0.3534109592437744,3.1611602223818336,22.813307285308838,8712.1015625,692.1037492032993,72.85280530973452,112,1,6.3164,70,71,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_5.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_5_final.txt
qwen2.5-7b,warm,0.5,6,0.3549025058746338,3.137952535160334,35.72812533378601,8712.1015625,693.1366001412227,73.09907909604524,176,1,6.3164,110,111,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_6.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_6_final.txt
qwen2.5-7b,warm,0.5,7,0.3799269199371338,3.15657801185838,24.139169692993164,8723.41796875,691.1920086891455,73.50415966386548,118,1,6.3164,74,75,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_7.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_7_final.txt
qwen2.5-7b,warm,0.5,8,0.3535799980163574,3.1546287414044745,25.71218180656433,8723.41796875,692.8877622860664,73.8721259842519,126,1,6.3164,79,80,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_8.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_8_final.txt
qwen2.5-7b,warm,0.5,9,0.3547508716583252,3.1743097848824675,22.406480073928833,8723.41796875,693.6070867804932,73.93963063063048,110,1,6.3164,69,70,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_9.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_9_final.txt
qwen2.5-7b,warm,0.5,10,0.355194091796875,3.1515891283514357,27.642165660858154,8723.41796875,692.9597928674631,74.06552205882346,135,1,6.3164,85,86,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_10.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_10_final.txt
qwen2.5-7b,warm,0.5,11,0.3565540313720703,3.15374871197646,29.52815270423889,8723.41796875,693.2639485961283,74.35921232876706,145,1,6.3164,91,92,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_11.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_11_final.txt
qwen2.5-7b,warm,0.5,12,0.3400566577911377,3.151886878850747,28.576403617858887,8723.41796875,692.7448764054615,74.76090070921963,140,1,6.3164,88,89,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_12.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_12_final.txt
qwen2.5-7b,warm,0.5,13,0.34622907638549805,3.139283849319481,29.332615852355957,8723.41796875,692.5393596291669,74.76324827586184,144,1,6.3164,90,91,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_13.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_13_final.txt
qwen2.5-7b,warm,0.5,14,0.35369229316711426,3.1440850189244074,25.480222940444946,8723.41796875,691.6632739933382,74.84599999999976,125,1,6.3164,78,79,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_14.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_14_final.txt
qwen2.5-7b,warm,0.5,15,0.3507506847381592,3.160009515898926,23.767497062683105,8723.41796875,692.681790788993,74.86177777777756,116,1,6.3164,73,74,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_15.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_15_final.txt
qwen2.5-7b,warm,0.5,16,0.35509443283081055,3.1513006620302186,24.47121572494507,8723.41796875,693.3359575994307,74.85362809917332,120,1,6.3164,75,76,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_16.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_16_final.txt
qwen2.5-7b,warm,0.5,17,0.3506128787994385,3.1370811844943787,34.13958811759949,8723.41796875,693.3314118386279,74.87876923076894,168,1,6.3164,105,106,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_17.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_17_final.txt
qwen2.5-7b,warm,0.5,18,0.3890719413757324,3.1489012730460213,22.302144527435303,8734.2265625,690.3579111573525,74.88795454545436,109,1,6.3164,68,69,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_18.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_18_final.txt
qwen2.5-7b,warm,0.5,19,0.3503115177154541,3.1398309916892444,32.19901394844055,8734.2265625,692.7519164688823,74.89244025157205,158,1,6.3164,99,100,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_19.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_19_final.txt
qwen2.5-7b,warm,0.5,20,0.38667988777160645,3.1444517328343538,27.099642992019653,8745.03125,690.7465497390564,74.9148805970147,133,1,6.3164,83,84,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_20.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_20_final.txt
qwen2.5-7b,warm,0.5,21,0.3597867488861084,3.1557550684687348,24.125389575958252,8745.03125,692.6397389105064,75.06317647058815,118,1,6.3164,74,75,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_21.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_21_final.txt
qwen2.5-7b,warm,0.5,22,0.35085177421569824,3.1332740738368217,34.819369077682495,8745.03125,692.6282882141422,75.11431395348819,171,1,6.3164,107,108,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_22.log,/home/orangepi/benchmark_slm/results_server/server_run_qwen2.5-7b_warm_temp_0_5_22_final.txt
