model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-1.5b,warm,0.7,1,0.14597749710083008,8.833109228804028,7.164952278137207,1947.67578125,295.05107683954554,76.95571428571425,34,1,,61,62,/dev/shm/results_cpu_pinning/cache_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_1.log,/dev/shm/results_cpu_pinning/cache_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_1_final.txt
qwen2.5-1.5b,warm,0.7,2,0.12647771835327148,8.757490601696865,9.032778024673462,1947.67578125,295.41969259349963,77.28682222222217,44,1,,77,78,/dev/shm/results_cpu_pinning/cache_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_2.log,/dev/shm/results_cpu_pinning/cache_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_2_final.txt
qwen2.5-1.5b,warm,0.7,3,0.142258882522583,8.605535549858518,9.088913917541504,1947.67578125,295.43022161747643,78.14828888888887,44,1,,76,77,/dev/shm/results_cpu_pinning/cache_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_3.log,/dev/shm/results_cpu_pinning/cache_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_3_final.txt
qwen2.5-1.5b,warm,0.7,4,0.13203144073486328,8.720015862124093,9.765142917633057,1947.67578125,295.1708702979084,78.0957291666666,47,1,,83,84,/dev/shm/results_cpu_pinning/cache_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_4.log,/dev/shm/results_cpu_pinning/cache_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_4_final.txt
qwen2.5-1.5b,warm,0.7,5,0.14080548286437988,8.797416912795967,9.80183482170105,1947.67578125,295.4495129161224,78.1726458333333,47,1,,84,85,/dev/shm/results_cpu_pinning/cache_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_5.log,/dev/shm/results_cpu_pinning/cache_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_5_final.txt
qwen2.5-1.5b,warm,0.7,6,0.13129067420959473,8.74167566266886,13.171451091766357,1947.67578125,295.3727861357835,78.25399999999989,64,1,,113,114,/dev/shm/results_cpu_pinning/cache_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_6.log,/dev/shm/results_cpu_pinning/cache_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_6_final.txt
qwen2.5-1.5b,warm,0.7,7,0.14986896514892578,8.719556590425324,12.076546907424927,1953.3359375,294.7653808194359,78.35027118644062,58,1,,103,104,/dev/shm/results_cpu_pinning/cache_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_7.log,/dev/shm/results_cpu_pinning/cache_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_7_final.txt
qwen2.5-1.5b,warm,0.7,8,0.14477872848510742,8.755818546859919,9.965955972671509,1958.7421875,295.5560952966888,78.5191632653061,48,1,,85,86,/dev/shm/results_cpu_pinning/cache_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_8.log,/dev/shm/results_cpu_pinning/cache_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_8_final.txt
qwen2.5-1.5b,warm,0.7,9,0.1329491138458252,8.740911507444617,11.688463926315308,1958.7421875,295.23854617091763,78.58574137931029,57,1,,100,101,/dev/shm/results_cpu_pinning/cache_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_9.log,/dev/shm/results_cpu_pinning/cache_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_9_final.txt
qwen2.5-1.5b,warm,0.7,10,0.1524219512939453,8.829875448676283,7.739506006240845,1964.14453125,294.7137051801095,78.58657894736842,37,1,,66,67,/dev/shm/results_cpu_pinning/cache_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_10.log,/dev/shm/results_cpu_pinning/cache_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_7_10_final.txt
