model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-1.5b,warm,0.5,1,0.0716562271118164,16.24514337901065,4.872769832611084,1942.3828125,318.7156006476785,66.1688,24,1,,77,78,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_1.log,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_1_final.txt
qwen2.5-1.5b,warm,0.5,2,0.07356858253479004,16.117591666663103,7.084317207336426,1942.3828125,318.67735734416675,67.35844444444442,35,1,,112,113,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_2.log,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_2_final.txt
qwen2.5-1.5b,warm,0.5,3,0.07475924491882324,16.08001595857248,8.96759557723999,1947.7890625,319.0838966795177,68.50706666666665,44,1,,142,143,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_3.log,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_3_final.txt
qwen2.5-1.5b,warm,0.5,4,0.07739782333374023,16.201703896614315,5.817350625991821,1953.96484375,318.9731686974739,69.24546666666667,29,1,,92,93,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_4.log,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_4_final.txt
qwen2.5-1.5b,warm,0.5,5,0.08213114738464355,16.304394241287955,3.9459035396575928,1958.8515625,318.3698418367496,69.307,19,1,,62,63,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_5.log,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_5_final.txt
qwen2.5-1.5b,warm,0.5,6,0.07114672660827637,16.204725222504067,5.378039836883545,1958.8515625,318.94385069447463,69.44374074074075,26,1,,85,86,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_6.log,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_6_final.txt
qwen2.5-1.5b,warm,0.5,7,0.07398390769958496,16.21890639741095,5.56120228767395,1958.8515625,319.1325638758102,69.99925,27,1,,88,89,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_7.log,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_7_final.txt
qwen2.5-1.5b,warm,0.5,8,0.07750821113586426,16.10646835769245,7.0310468673706055,1963.7421875,318.4054488296757,70.17872222222223,35,1,,111,112,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_8.log,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_8_final.txt
qwen2.5-1.5b,warm,0.5,9,0.07650589942932129,16.14061705579004,6.519798278808594,1969.14453125,318.7188330647176,70.23,32,1,,103,104,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_9.log,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_9_final.txt
qwen2.5-1.5b,warm,0.5,10,0.0776529312133789,16.19995534447092,5.756489276885986,1974.2890625,319.0937488560785,70.2618275862069,28,1,,91,92,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_10.log,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_10_final.txt
qwen2.5-1.5b,warm,0.5,1,0.0716562271118164,16.24514337901065,4.872769832611084,1942.3828125,318.7156006476785,66.1688,24,1,,77,78,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_1.log,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_1_final.txt
