model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-3b,warm,0.7,1,0.18261003494262695,5.831349963205604,7.213231563568115,3748.71484375,304.52965765566574,78.538,35,1,,40,41,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_1.log,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_1_final.txt
qwen2.5-3b,warm,0.7,2,0.18651819229125977,5.785161658146891,10.557976722717285,3748.71484375,305.0869929407477,79.13011320754708,52,1,,59,60,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_2.log,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_2_final.txt
qwen2.5-3b,warm,0.7,3,0.18468499183654785,5.752464220737818,14.265491724014282,3748.71484375,304.7726145726066,79.95499999999998,70,1,,80,81,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_3.log,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_3_final.txt
qwen2.5-3b,warm,0.7,4,0.19060969352722168,5.7987268030581465,10.020481824874878,3748.71484375,305.09634843864745,80.34708,49,1,,56,57,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_4.log,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_4_final.txt
qwen2.5-3b,warm,0.7,5,0.18704867362976074,5.726647406409649,18.34762692451477,3748.71484375,304.9511072039121,80.65488043478256,91,1,,103,104,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_5.log,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_5_final.txt
qwen2.5-3b,warm,0.7,6,0.19665956497192383,5.761834568126491,12.692513465881348,3755.66015625,304.60280526784976,81.23374603174591,62,1,,71,72,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_6.log,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_6_final.txt
qwen2.5-3b,warm,0.7,7,0.18602323532104492,5.813356619743396,8.270615577697754,3755.66015625,304.67673025422005,81.30699999999992,41,1,,46,47,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_7.log,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_7_final.txt
qwen2.5-3b,warm,0.7,8,0.1855621337890625,5.734712336197447,15.705191373825073,3755.66015625,304.6358179024985,81.33066666666653,77,1,,88,89,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_8.log,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_8_final.txt
qwen2.5-3b,warm,0.7,9,0.18761587142944336,5.800993524121078,9.323877811431885,3755.66015625,305.0444559696187,81.3462765957446,46,1,,52,53,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_9.log,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_9_final.txt
qwen2.5-3b,warm,0.7,10,0.18315362930297852,5.785751087574109,10.380789279937744,3755.66015625,305.1184881689542,81.85725,51,1,,58,59,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_10.log,/dev/shm/results_cpu_pinning/itimer_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_10_final.txt
