model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-1.5b,warm,1.0,1,0.10331511497497559,11.560660229305695,7.022996187210083,1947.15625,332.4432913833491,72.26080000000002,34,1,,79,80,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_1_0_1.log,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_1_0_1_final.txt
qwen2.5-1.5b,warm,1.0,2,0.0987699031829834,11.490553605801239,10.019695281982422,1947.15625,332.7663203736088,72.96304,49,1,,113,114,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_1_0_2.log,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_1_0_2_final.txt
qwen2.5-1.5b,warm,1.0,3,0.10590577125549316,11.445644675515553,11.988109827041626,1952.5625,332.4310946148713,73.23074999999994,59,1,,135,136,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_1_0_3.log,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_1_0_3_final.txt
qwen2.5-1.5b,warm,1.0,4,0.1026310920715332,11.616821757482732,5.439566135406494,1958.734375,331.9348591267901,73.39557142857143,27,1,,61,62,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_1_0_4.log,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_1_0_4_final.txt
qwen2.5-1.5b,warm,1.0,5,0.0984654426574707,11.433007039354402,11.643741130828857,1958.734375,331.94459186761986,73.62063793103438,57,1,,131,132,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_1_0_5.log,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_1_0_5_final.txt
qwen2.5-1.5b,warm,1.0,6,0.10544085502624512,11.555191169632957,7.374563932418823,1964.6484375,332.67297429956164,73.92299999999994,36,1,,83,84,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_1_0_6.log,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_1_0_6_final.txt
qwen2.5-1.5b,warm,1.0,7,0.09978818893432617,11.484920197237097,9.851404428482056,1964.6484375,332.277752811638,73.94145999999989,49,1,,111,112,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_1_0_7.log,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_1_0_7_final.txt
qwen2.5-1.5b,warm,1.0,8,0.10347890853881836,11.50387028542636,9.230625629425049,1970.05078125,333.11477627829066,73.92299999999992,45,1,,104,105,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_1_0_8.log,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_1_0_8_final.txt
qwen2.5-1.5b,warm,1.0,9,0.11122679710388184,11.551371508778452,7.728940486907959,1975.1953125,332.43521249851807,73.9466666666666,38,1,,87,88,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_1_0_9.log,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_1_0_9_final.txt
qwen2.5-1.5b,warm,1.0,10,0.10115694999694824,11.497305945374825,10.277139663696289,1975.1953125,332.97288697677254,73.9584999999999,51,1,,116,117,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_1_0_10.log,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_1_0_10_final.txt
