model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-7b,warm,1.0,1,0.3462486267089844,3.1001058169452183,30.34471821784973,8723.046875,353.0755456268128,77.13210596026475,150,1,,92,93,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_1_0_1.log,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_1_0_1_final.txt
qwen2.5-7b,warm,1.0,2,0.34923505783081055,3.105670394302043,24.82010555267334,8732.82421875,352.9171217074486,77.49590322580629,123,1,,75,76,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_1_0_2.log,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_1_0_2_final.txt
qwen2.5-7b,warm,1.0,3,0.3313448429107666,3.095468591397125,31.667407035827637,8732.82421875,352.7085382726056,77.52737341772135,157,1,,96,97,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_1_0_3.log,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_1_0_3_final.txt
qwen2.5-7b,warm,1.0,4,0.3489081859588623,3.097846514784989,26.495556354522705,8742.859375,351.7864475280642,77.55206818181802,131,1,,80,81,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_1_0_4.log,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_1_0_4_final.txt
qwen2.5-7b,warm,1.0,5,0.33829593658447266,3.0973999882453667,26.166096448898315,8742.859375,351.96999874932544,77.58681679389298,130,1,,79,80,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_1_0_5.log,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_1_0_5_final.txt
qwen2.5-7b,warm,1.0,6,0.33832311630249023,3.105395508761708,24.489556789398193,8742.859375,351.96406350820695,77.60743442622935,121,1,,74,75,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_1_0_6.log,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_1_0_6_final.txt
qwen2.5-7b,warm,1.0,7,0.3346445560455322,3.0863619975079435,36.298847675323486,8742.859375,352.50166196199734,77.58950276243074,180,1,,110,111,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_1_0_7.log,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_1_0_7_final.txt
qwen2.5-7b,warm,1.0,8,0.34153175354003906,3.102338446970139,26.450380325317383,8754.12890625,352.6331309951269,77.60800757575741,131,1,,80,81,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_1_0_8.log,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_1_0_8_final.txt
qwen2.5-7b,warm,1.0,9,0.33708977699279785,3.0990554411057163,27.44168210029602,8754.12890625,352.51458811983383,77.62847445255457,136,1,,83,84,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_1_0_9.log,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_1_0_9_final.txt
qwen2.5-7b,warm,1.0,10,0.33685755729675293,3.0899591391528336,36.58304452896118,8754.12890625,353.0241953201402,77.62007142857125,181,1,,111,112,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_1_0_10.log,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_1_0_10_final.txt
qwen2.5-7b,warm,1.0,1,0.3462486267089844,3.1001058169452183,30.34471821784973,8723.046875,353.0755456268128,77.13210596026475,150,1,,92,93,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_1_0_1.log,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_1_0_1_final.txt
qwen2.5-7b,warm,1.0,2,0.34923505783081055,3.105670394302043,24.82010555267334,8732.82421875,352.9171217074486,77.49590322580629,123,1,,75,76,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_1_0_2.log,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_1_0_2_final.txt
qwen2.5-7b,warm,1.0,3,0.3313448429107666,3.095468591397125,31.667407035827637,8732.82421875,352.7085382726056,77.52737341772135,157,1,,96,97,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_1_0_3.log,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_1_0_3_final.txt
qwen2.5-7b,warm,1.0,4,0.3489081859588623,3.097846514784989,26.495556354522705,8742.859375,351.7864475280642,77.55206818181802,131,1,,80,81,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_1_0_4.log,/dev/shm/results_cpu_pinning/memcpy_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_1_0_4_final.txt
