model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-0.5b,warm,0.7,1,1.1796226501464844,0.8754224180471634,150.82090306282043,628.29296875,282.8909135619512,60.99010695187169,747,1,9.6520,130,131,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_1.log,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_1_final.txt
qwen2.5-0.5b,warm,0.7,2,1.178260087966919,0.8931624754422065,129.93351578712463,630.84765625,285.03470001787144,60.97563410852712,644,1,9.6520,114,115,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_2.log,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_2_final.txt
qwen2.5-0.5b,warm,0.7,3,1.1849164962768555,0.8859739052589152,126.47025203704834,633.1640625,284.561874141609,60.972036624203845,627,1,9.6520,110,111,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_3.log,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_3_final.txt
qwen2.5-0.5b,warm,0.7,4,1.176354169845581,0.8775803133518714,112.8462553024292,635.48046875,284.2998916023648,60.99174642857144,559,1,9.6520,97,98,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_4.log,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_4_final.txt
qwen2.5-0.5b,warm,0.7,5,1.178603172302246,0.88432014000496,133.482812166214,637.796875,284.65815115067267,60.98324320241691,661,1,9.6520,116,117,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_5.log,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_5_final.txt
qwen2.5-0.5b,warm,0.7,6,1.1944842338562012,0.8788893249600368,176.41492080688477,640.11328125,284.8042885532627,61.004213714285726,874,1,9.6520,153,154,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_6.log,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_6_final.txt
qwen2.5-0.5b,warm,0.7,7,1.1745359897613525,0.8817093622255898,146.34632992744446,642.94140625,284.3875767526379,61.02415564738293,725,1,9.6520,127,128,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_7.log,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_7_final.txt
qwen2.5-0.5b,warm,0.7,8,1.1780600547790527,0.8799327323307754,158.00742053985596,645.515625,284.7123260180096,60.99645663265308,783,1,9.6520,137,138,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_8.log,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_8_final.txt
qwen2.5-0.5b,warm,0.7,9,1.1909637451171875,0.8746697558829318,194.40600633621216,648.08984375,284.2151216641236,61.00478630705394,963,1,9.6520,168,169,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_9.log,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_9_final.txt
qwen2.5-0.5b,warm,0.7,10,1.1737196445465088,0.8749729435449897,169.17814421653748,650.91796875,284.5145526789743,61.00549344457689,838,1,9.6520,146,147,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_10.log,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_10_final.txt
qwen2.5-0.5b,warm,0.7,11,1.1758439540863037,0.8753745939141054,198.80482864379883,653.75,284.2668962171601,61.00748275862072,985,1,9.6520,172,173,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_11.log,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_11_final.txt
qwen2.5-0.5b,warm,0.7,12,1.1768157482147217,0.8675760475258495,119.89842867851257,656.8359375,281.64627947404114,61.0062,594,1,9.6520,102,103,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_12.log,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_12_final.txt
qwen2.5-0.5b,warm,0.7,13,1.0329842567443848,0.8729712959808589,220.97115230560303,658.89453125,284.3179738673036,61.01262591240879,1095,1,9.6520,192,192,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_13.log,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_13_final.txt
qwen2.5-0.5b,warm,0.7,14,1.190596103668213,0.878907077146203,179.82104682922363,662.2421875,284.5270112504067,61.015515695067286,891,1,9.6520,156,157,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_14.log,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_14_final.txt
qwen2.5-0.5b,warm,0.7,15,1.1677782535552979,0.8754364453841762,153.09123730659485,665.0703125,284.72542215784716,61.00849605263159,759,1,9.6520,132,133,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_15.log,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_15_final.txt
qwen2.5-0.5b,warm,0.7,16,1.174271583557129,0.8558394384982873,156.57664275169373,667.99609375,277.7599581195065,61.07127413127413,776,1,9.6520,132,133,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_16.log,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_16_final.txt
qwen2.5-0.5b,warm,0.7,17,1.1782054901123047,0.8738384548170034,164.82354187965393,670.81640625,283.8215666652759,61.04287775061128,817,1,9.6520,142,143,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_17.log,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_17_final.txt
qwen2.5-0.5b,warm,0.7,18,1.1749813556671143,0.8717240075481765,148.00999760627747,673.64453125,282.913022631133,61.02766348773841,733,1,9.6520,127,128,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_18.log,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_18_final.txt
qwen2.5-0.5b,warm,0.7,19,1.174102544784546,0.8816841713303095,131.6061818599701,675.9609375,283.5903991910732,61.02684686064321,652,1,9.6520,114,115,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_19.log,/dev/shm/results_stress_final_05_15_0_7/_tmp_itimer_w5_7553/server_run_qwen2.5-0.5b_warm_temp_0_7_19_final.txt
