model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-1.5b,warm,0.7,1,1.5861237049102783,0.6646627884959995,143.01069474220276,1943.52734375,286.04062000554114,62.85120733427341,708,1,7.4711,93,94,/home/orangepi/benchmark_slm/results_stress_final/_tmp_cpu_w5_3614/server_run_qwen2.5-1.5b_warm_temp_0_7_1.log,/home/orangepi/benchmark_slm/results_stress_final/_tmp_cpu_w5_3614/server_run_qwen2.5-1.5b_warm_temp_0_7_1_final.txt
qwen2.5-1.5b,warm,0.7,2,1.5628266334533691,0.6694358880457265,115.09032464027405,1948.41796875,287.2157006526421,62.834684763572966,570,1,7.4711,75,76,/home/orangepi/benchmark_slm/results_stress_final/_tmp_cpu_w5_3614/server_run_qwen2.5-1.5b_warm_temp_0_7_2.log,/home/orangepi/benchmark_slm/results_stress_final/_tmp_cpu_w5_3614/server_run_qwen2.5-1.5b_warm_temp_0_7_2_final.txt
qwen2.5-1.5b,warm,0.7,3,1.5864429473876953,0.6572953830378954,158.28845381736755,1948.41796875,285.17028087666864,62.7788941326529,783,1,7.4711,102,103,/home/orangepi/benchmark_slm/results_stress_final/_tmp_cpu_w5_3614/server_run_qwen2.5-1.5b_warm_temp_0_7_3.log,/home/orangepi/benchmark_slm/results_stress_final/_tmp_cpu_w5_3614/server_run_qwen2.5-1.5b_warm_temp_0_7_3_final.txt
qwen2.5-1.5b,warm,0.7,4,1.5836231708526611,0.662407206491653,181.2299599647522,1953.5625,286.48814145310985,62.73088195991053,897,1,7.4711,118,119,/home/orangepi/benchmark_slm/results_stress_final/_tmp_cpu_w5_3614/server_run_qwen2.5-1.5b_warm_temp_0_7_4.log,/home/orangepi/benchmark_slm/results_stress_final/_tmp_cpu_w5_3614/server_run_qwen2.5-1.5b_warm_temp_0_7_4_final.txt
qwen2.5-1.5b,warm,0.7,5,1.5794644355773926,0.6579938887518909,232.58398413658142,1959.2265625,286.15467250029155,62.691365451388684,1151,1,7.4711,151,152,/home/orangepi/benchmark_slm/results_stress_final/_tmp_cpu_w5_3614/server_run_qwen2.5-1.5b_warm_temp_0_7_5.log,/home/orangepi/benchmark_slm/results_stress_final/_tmp_cpu_w5_3614/server_run_qwen2.5-1.5b_warm_temp_0_7_5_final.txt
qwen2.5-1.5b,warm,0.7,6,1.5919885635375977,0.6620870108128739,137.52353405952454,1965.66015625,285.93837464197077,62.802692082111314,681,1,7.4711,89,90,/home/orangepi/benchmark_slm/results_stress_final/_tmp_cpu_w5_3614/server_run_qwen2.5-1.5b_warm_temp_0_7_6.log,/home/orangepi/benchmark_slm/results_stress_final/_tmp_cpu_w5_3614/server_run_qwen2.5-1.5b_warm_temp_0_7_6_final.txt
qwen2.5-1.5b,warm,0.7,7,1.578211784362793,0.6597227140077089,147.09342527389526,1970.546875,285.41191569490405,62.751041152263234,728,1,7.4711,95,96,/home/orangepi/benchmark_slm/results_stress_final/_tmp_cpu_w5_3614/server_run_qwen2.5-1.5b_warm_temp_0_7_7.log,/home/orangepi/benchmark_slm/results_stress_final/_tmp_cpu_w5_3614/server_run_qwen2.5-1.5b_warm_temp_0_7_7_final.txt
qwen2.5-1.5b,warm,0.7,8,1.5815012454986572,0.669912700371112,113.53549575805664,1975.4375,287.1705302866491,62.678777975133386,562,1,7.4711,74,75,/home/orangepi/benchmark_slm/results_stress_final/_tmp_cpu_w5_3614/server_run_qwen2.5-1.5b_warm_temp_0_7_8.log,/home/orangepi/benchmark_slm/results_stress_final/_tmp_cpu_w5_3614/server_run_qwen2.5-1.5b_warm_temp_0_7_8_final.txt
qwen2.5-1.5b,warm,0.7,9,1.4554011821746826,0.6621363076047364,179.66549611091614,1975.4375,286.25628937129613,62.71961840628475,890,1,7.4711,117,118,/home/orangepi/benchmark_slm/results_stress_final/_tmp_cpu_w5_3614/server_run_qwen2.5-1.5b_warm_temp_0_7_9.log,/home/orangepi/benchmark_slm/results_stress_final/_tmp_cpu_w5_3614/server_run_qwen2.5-1.5b_warm_temp_0_7_9_final.txt
qwen2.5-1.5b,warm,0.7,10,1.5751373767852783,0.662572578736179,155.51916599273682,1981.09765625,285.9093050064577,62.704736705576984,770,1,7.4711,101,102,/home/orangepi/benchmark_slm/results_stress_final/_tmp_cpu_w5_3614/server_run_qwen2.5-1.5b_warm_temp_0_7_10.log,/home/orangepi/benchmark_slm/results_stress_final/_tmp_cpu_w5_3614/server_run_qwen2.5-1.5b_warm_temp_0_7_10_final.txt
