model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-1.5b,warm,0.0,1,1.9142231941223145,0.5403967321434255,172.1549472808838,1943.2578125,276.7737932792639,80.38289062499884,831,1,7.4711,91,92,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-1.5b/memcpy_w5/server_run_qwen2.5-1.5b_warm_temp_0_0_1.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-1.5b/memcpy_w5/server_run_qwen2.5-1.5b_warm_temp_0_0_1_final.txt
qwen2.5-1.5b,warm,0.0,2,1.9316270351409912,0.5421605014659343,171.62057256698608,1943.2578125,277.5404791486005,80.38288661037274,828,1,7.4711,91,92,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-1.5b/memcpy_w5/server_run_qwen2.5-1.5b_warm_temp_0_0_2.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-1.5b/memcpy_w5/server_run_qwen2.5-1.5b_warm_temp_0_0_2_final.txt
qwen2.5-1.5b,warm,0.0,3,1.9070162773132324,0.5420137000207621,171.64333605766296,1943.2578125,277.38688245823505,80.40957710843256,829,1,7.4711,91,92,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-1.5b/memcpy_w5/server_run_qwen2.5-1.5b_warm_temp_0_0_3.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-1.5b/memcpy_w5/server_run_qwen2.5-1.5b_warm_temp_0_0_3_final.txt
qwen2.5-1.5b,warm,0.0,4,1.902189016342163,0.5391560688508863,172.54142594337463,1943.2578125,276.99361002119554,80.38178657074224,833,1,7.4711,91,92,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-1.5b/memcpy_w5/server_run_qwen2.5-1.5b_warm_temp_0_0_4.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-1.5b/memcpy_w5/server_run_qwen2.5-1.5b_warm_temp_0_0_4_final.txt
qwen2.5-1.5b,warm,0.0,5,1.8476171493530273,0.5424370752061765,171.45310735702515,1943.2578125,277.92592669437727,80.38177053139975,827,1,7.4711,91,92,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-1.5b/memcpy_w5/server_run_qwen2.5-1.5b_warm_temp_0_0_5.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-1.5b/memcpy_w5/server_run_qwen2.5-1.5b_warm_temp_0_0_5_final.txt
qwen2.5-1.5b,warm,0.0,6,1.886845588684082,0.5423461996814365,171.52027297019958,1943.2578125,277.4150146997042,80.38956694812907,828,1,7.4711,91,92,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-1.5b/memcpy_w5/server_run_qwen2.5-1.5b_warm_temp_0_0_6.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-1.5b/memcpy_w5/server_run_qwen2.5-1.5b_warm_temp_0_0_6_final.txt
qwen2.5-1.5b,warm,0.0,7,1.9288203716278076,0.5433840963346764,171.2393171787262,1943.2578125,278.0574025604655,80.39960628019203,827,1,7.4711,91,92,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-1.5b/memcpy_w5/server_run_qwen2.5-1.5b_warm_temp_0_0_7.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-1.5b/memcpy_w5/server_run_qwen2.5-1.5b_warm_temp_0_0_7_final.txt
qwen2.5-1.5b,warm,0.0,8,1.9551122188568115,0.5380874403671174,172.93064785003662,1943.2578125,277.03505752732474,80.39614473684095,835,1,7.4711,91,92,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-1.5b/memcpy_w5/server_run_qwen2.5-1.5b_warm_temp_0_0_8.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-1.5b/memcpy_w5/server_run_qwen2.5-1.5b_warm_temp_0_0_8_final.txt
qwen2.5-1.5b,warm,0.0,9,1.9217493534088135,0.5438472468336091,171.08616733551025,1943.2578125,278.18008082462967,80.40966989117175,826,1,7.4711,91,92,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-1.5b/memcpy_w5/server_run_qwen2.5-1.5b_warm_temp_0_0_9.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-1.5b/memcpy_w5/server_run_qwen2.5-1.5b_warm_temp_0_0_9_final.txt
qwen2.5-1.5b,warm,0.0,10,1.920379400253296,0.5424271160730352,171.53193831443787,1943.2578125,278.1198668154332,80.40068072289037,829,1,7.4711,91,92,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-1.5b/memcpy_w5/server_run_qwen2.5-1.5b_warm_temp_0_0_10.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-1.5b/memcpy_w5/server_run_qwen2.5-1.5b_warm_temp_0_0_10_final.txt
qwen2.5-1.5b,warm,0.0,11,1.8967580795288086,0.5421890916399104,171.5771050453186,1943.2578125,277.7861745325506,80.42180963855307,829,1,7.4711,91,92,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-1.5b/memcpy_w5/server_run_qwen2.5-1.5b_warm_temp_0_0_11.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-1.5b/memcpy_w5/server_run_qwen2.5-1.5b_warm_temp_0_0_11_final.txt
qwen2.5-1.5b,warm,0.0,12,1.9160730838775635,0.5416147452400836,171.7781126499176,1943.2578125,277.74547745392096,80.43849036144466,829,1,7.4711,91,92,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-1.5b/memcpy_w5/server_run_qwen2.5-1.5b_warm_temp_0_0_12.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-1.5b/memcpy_w5/server_run_qwen2.5-1.5b_warm_temp_0_0_12_final.txt
