model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-3b,warm,0.5,1,0.6550893783569336,1.573098974930389,50.238717794418335,3749.54296875,449.24129731528257,74.65770799999993,249,1,6.8150,77,78,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_1.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_1_final.txt
qwen2.5-3b,warm,0.5,2,0.6795098781585693,1.6224565166228784,44.44016456604004,3749.54296875,461.7722934992181,74.78752941176451,220,1,6.8150,70,71,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_2.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_2_final.txt
qwen2.5-3b,warm,0.5,3,0.6436257362365723,1.6027506217611769,43.0695219039917,3749.54296875,460.18205162953575,74.87187850467268,213,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_3.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_3_final.txt
qwen2.5-3b,warm,0.5,4,0.6143534183502197,1.6084651438980224,42.891478538513184,3749.54296875,462.26698597273264,74.89366666666642,212,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_4.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_4_final.txt
qwen2.5-3b,warm,0.5,5,0.6117024421691895,1.605554657169677,60.40394330024719,3749.54296875,461.65023048507936,75.06136666666687,299,1,6.8150,95,96,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_5.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_5_final.txt
qwen2.5-3b,warm,0.5,6,0.5180025100708008,1.6398998016175366,40.15391397476196,3749.54296875,471.57001121925384,75.09182412060282,198,1,6.8150,64,65,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_6.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_6_final.txt
qwen2.5-3b,warm,0.5,7,0.6347827911376953,1.5819646297046717,41.723414182662964,3749.54296875,452.46891440524973,75.14028985507235,206,1,6.8150,64,65,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_7.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_7_final.txt
qwen2.5-3b,warm,0.5,8,0.6198785305023193,1.6407087338265915,51.81732177734375,3749.54296875,471.43057692478806,75.10099221789883,256,1,6.8150,83,84,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_8.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_8_final.txt
qwen2.5-3b,warm,0.5,9,0.6808018684387207,1.5853090145304547,41.683228731155396,3749.54296875,452.254150109977,75.19825603864722,206,1,6.8150,64,65,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_9.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_9_final.txt
qwen2.5-3b,warm,0.5,10,0.6485426425933838,1.5980361954460713,81.99745464324951,3749.54296875,458.3112970886768,75.34265110565127,406,1,6.8150,129,130,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_10.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_10_final.txt
qwen2.5-3b,warm,0.5,11,0.6696572303771973,1.5757573320667868,37.47662353515625,3757.2578125,447.0500723035447,75.52088172043014,185,1,6.8150,57,58,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_11.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_11_final.txt
qwen2.5-3b,warm,0.5,12,0.540092945098877,1.5970603669591965,65.03431224822998,3757.2578125,462.09747179286893,75.18033746130047,322,1,6.8150,102,103,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_12.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_12_final.txt
qwen2.5-3b,warm,0.5,13,0.751220703125,1.6160093086445535,37.87849950790405,3764.203125,458.729817656081,75.1896702127658,187,1,6.8150,59,60,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_13.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_13_final.txt
qwen2.5-3b,warm,0.5,14,0.5653955936431885,1.5907840992749653,45.19795203208923,3764.203125,455.5989212679053,75.20860714285705,223,1,6.8150,70,71,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_14.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_14_final.txt
qwen2.5-3b,warm,0.5,15,0.6683468818664551,1.6201128949818002,58.68949484825134,3764.203125,466.7043228239042,75.09340206185576,290,1,6.8150,93,94,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_15.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_15_final.txt
qwen2.5-3b,warm,0.5,16,0.6137540340423584,1.610228444329267,41.60102581977844,3764.203125,461.82888580374976,75.06894685990319,206,1,6.8150,65,66,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_16.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_16_final.txt
qwen2.5-3b,warm,0.5,17,0.5676965713500977,1.6259855704301704,63.2996506690979,3764.203125,471.02916282198197,75.16640445859893,313,1,6.8150,101,102,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_17.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_17_final.txt
qwen2.5-3b,warm,0.5,18,0.7148046493530273,1.633269261951202,51.533610343933105,3771.1484375,466.60097082736934,75.18491406250001,255,1,6.8150,82,83,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_18.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_18_final.txt
qwen2.5-3b,warm,0.5,19,0.7191390991210938,1.6120578368551888,54.6878879070282,3771.1484375,463.4800964750912,75.15253136531372,270,1,6.8150,86,87,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_19.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_19_final.txt
qwen2.5-3b,warm,0.5,20,0.5421371459960938,1.5927966176475366,47.628811836242676,3771.1484375,456.1282364501106,75.23710169491522,235,1,6.8150,74,75,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_20.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_20_final.txt
qwen2.5-3b,warm,0.5,21,0.5937595367431641,1.6281978451000079,50.95504951477051,3771.1484375,468.7406157603222,75.10502371541499,252,1,6.8150,81,82,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_21.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_21_final.txt
qwen2.5-3b,warm,0.5,22,0.6116101741790771,1.6382106395915188,38.45756983757019,3771.1484375,468.64485868345844,75.23259685863862,190,1,6.8150,61,62,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_22.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_22_final.txt
qwen2.5-3b,warm,0.5,23,0.7207827568054199,1.5991326304612377,41.36685132980347,3771.1484375,457.6642790129269,75.16567317073155,204,1,6.8150,64,65,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_23.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_23_final.txt
qwen2.5-3b,warm,0.5,24,0.5451064109802246,1.58885648566518,45.230491638183594,3771.1484375,455.50469133351714,75.30955111111103,224,1,6.8150,70,71,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_24.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/cache_w5/server_run_qwen2.5-3b_warm_temp_0_5_24_final.txt
