model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-3b,warm,1.0,1,2.190356492996216,0.46845800410582916,192.1758999824524,3749.921875,282.9976172183175,76.86762367864733,945,1,6.8150,88,89,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/itimer_w5/server_run_qwen2.5-3b_warm_temp_1_0_1.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/itimer_w5/server_run_qwen2.5-3b_warm_temp_1_0_1_final.txt
qwen2.5-3b,warm,1.0,2,2.198190450668335,0.46925809224291315,115.14199352264404,3749.921875,282.24110417841837,76.81571781305117,566,1,6.8150,52,53,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/itimer_w5/server_run_qwen2.5-3b_warm_temp_1_0_2.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/itimer_w5/server_run_qwen2.5-3b_warm_temp_1_0_2_final.txt
qwen2.5-3b,warm,1.0,3,2.2244675159454346,0.46535210900567353,167.6905233860016,3749.921875,281.85101352730715,76.87771878787954,824,1,6.8150,76,77,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/itimer_w5/server_run_qwen2.5-3b_warm_temp_1_0_3.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/itimer_w5/server_run_qwen2.5-3b_warm_temp_1_0_3_final.txt
qwen2.5-3b,warm,1.0,4,2.1966006755828857,0.4688694495289511,138.69564151763916,3749.921875,282.44213168193625,76.75821815519807,682,1,6.8150,63,64,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/itimer_w5/server_run_qwen2.5-3b_warm_temp_1_0_4.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/itimer_w5/server_run_qwen2.5-3b_warm_temp_1_0_4_final.txt
qwen2.5-3b,warm,1.0,5,2.237123966217041,0.46845438504649517,147.39489841461182,3749.921875,282.3219662588704,77.03319172413839,724,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/itimer_w5/server_run_qwen2.5-3b_warm_temp_1_0_5.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/itimer_w5/server_run_qwen2.5-3b_warm_temp_1_0_5_final.txt
qwen2.5-3b,warm,1.0,6,2.18401837348938,0.4686370539638692,168.62383460998535,3749.921875,282.968807956474,77.05341566265098,829,1,6.8150,77,78,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/itimer_w5/server_run_qwen2.5-3b_warm_temp_1_0_6.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/itimer_w5/server_run_qwen2.5-3b_warm_temp_1_0_6_final.txt
qwen2.5-3b,warm,1.0,7,2.2275631427764893,0.46733249964410833,169.13249468803406,3749.921875,282.32952581681286,76.8980960384162,832,1,6.8150,77,78,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/itimer_w5/server_run_qwen2.5-3b_warm_temp_1_0_7.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/itimer_w5/server_run_qwen2.5-3b_warm_temp_1_0_7_final.txt
qwen2.5-3b,warm,1.0,8,2.1928250789642334,0.4727103868246766,107.96520900726318,3749.921875,282.9369515519844,76.797832706767,531,1,6.8150,49,50,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/itimer_w5/server_run_qwen2.5-3b_warm_temp_1_0_8.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/itimer_w5/server_run_qwen2.5-3b_warm_temp_1_0_8_final.txt
qwen2.5-3b,warm,1.0,9,2.219942092895508,0.4738744807503453,149.93826007843018,3749.921875,284.1602983378355,76.81956910569147,737,1,6.8150,69,70,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/itimer_w5/server_run_qwen2.5-3b_warm_temp_1_0_9.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/itimer_w5/server_run_qwen2.5-3b_warm_temp_1_0_9_final.txt
qwen2.5-3b,warm,1.0,10,2.179635763168335,0.4667891007959553,209.98268866539001,3749.921875,282.5694711823141,77.03209961315292,1033,1,6.8150,96,97,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/itimer_w5/server_run_qwen2.5-3b_warm_temp_1_0_10.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/itimer_w5/server_run_qwen2.5-3b_warm_temp_1_0_10_final.txt
