model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-3b,warm,0.0,1,2.230745315551758,0.4622215612151791,149.34553790092468,3749.67578125,281.32611271659596,78.59451020408207,734,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_1.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_1_final.txt
qwen2.5-3b,warm,0.0,2,2.2202303409576416,0.4641877828533375,148.7131679058075,3749.67578125,281.95220084160417,78.67922404371627,731,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_2.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_2_final.txt
qwen2.5-3b,warm,0.0,3,2.2016680240631104,0.46211091136215954,149.35248947143555,3749.67578125,281.2597135205297,78.71255374149705,734,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_3.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_3_final.txt
qwen2.5-3b,warm,0.0,4,2.231170177459717,0.46161609241488993,149.53992772102356,3749.67578125,281.38277207739964,79.23902853260962,735,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_4.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_4_final.txt
qwen2.5-3b,warm,0.0,5,2.234729290008545,0.46241736525180077,149.28731441497803,3749.67578125,281.2245391671613,79.3442122448989,734,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_5.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_5_final.txt
qwen2.5-3b,warm,0.0,6,2.2109904289245605,0.46185947790902004,149.4418911933899,3749.67578125,281.12091246206063,79.46351156462686,734,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_6.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_6_final.txt
qwen2.5-3b,warm,0.0,7,2.2251956462860107,0.46718527071469595,147.77716827392578,3749.67578125,282.85039016723584,79.4483214285724,727,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_7.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_7_final.txt
qwen2.5-3b,warm,0.0,8,2.254009485244751,0.46362940814153836,148.922678232193,3749.67578125,281.90904490566356,79.37411459754522,732,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_8.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_8_final.txt
qwen2.5-3b,warm,0.0,9,2.189265727996826,0.464469906608831,148.59345388412476,3749.67578125,281.8861842689641,78.75012585499383,730,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_9.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_9_final.txt
qwen2.5-3b,warm,0.0,10,2.2190980911254883,0.46133548644936917,149.6167287826538,3749.67578125,281.60814275349196,79.01705706521807,735,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_10.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_10_final.txt
qwen2.5-3b,warm,0.0,11,1.871736764907837,0.46247854754150586,148.90571641921997,3749.67578125,282.0684359722741,78.88806002728568,732,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_11.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_11_final.txt
qwen2.5-3b,warm,0.0,12,2.218919277191162,0.46497625506442053,148.4634108543396,3749.67578125,282.4006076673695,78.56451573187451,730,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_12.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_12_final.txt
qwen2.5-3b,warm,0.0,13,2.2527735233306885,0.4616737747794148,149.54258108139038,3749.67578125,281.19592986679856,78.54050815217425,735,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_13.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_13_final.txt
qwen2.5-3b,warm,0.0,14,2.23343825340271,0.4623200962931175,149.3178195953369,3749.67578125,281.7281136921429,78.544278911565,734,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_14.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_14_final.txt
qwen2.5-3b,warm,0.0,15,2.205940008163452,0.4713801539527583,146.46370363235474,3749.67578125,282.90844567548953,78.54440083217791,720,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_15.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_15_final.txt
qwen2.5-3b,warm,0.0,16,2.2253825664520264,0.4683493084412655,147.41591238975525,3749.67578125,282.56805728142393,78.54309241379349,724,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_16.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_16_final.txt
qwen2.5-3b,warm,0.0,17,2.2108378410339355,0.46501070064844513,148.4442584514618,3749.67578125,282.60507961317853,78.53420684931544,729,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_17.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_17_final.txt
qwen2.5-3b,warm,0.0,18,2.2228918075561523,0.46709506565374903,147.80293226242065,3749.67578125,283.26742650200066,78.53926960110078,726,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_18.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_18_final.txt
qwen2.5-3b,warm,0.0,19,2.2328341007232666,0.466812183465728,147.90142107009888,3749.67578125,282.90357291006933,78.54687500000038,727,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_19.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_19_final.txt
qwen2.5-3b,warm,0.0,20,2.23100209236145,0.4623500595357292,149.3059892654419,3749.67578125,281.4743644464298,78.53800000000035,734,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_20.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_20_final.txt
qwen2.5-3b,warm,0.0,21,2.231598138809204,0.4679448263046265,147.54750895500183,3749.67578125,282.4317612884939,78.5392713498626,725,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_21.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_21_final.txt
qwen2.5-3b,warm,0.0,22,2.2211828231811523,0.463598349625327,148.90072011947632,3749.67578125,281.95752054683567,78.54429604365659,732,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_22.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_22_final.txt
qwen2.5-3b,warm,0.0,23,2.2245094776153564,0.4610551995422155,149.7127583026886,3749.67578125,280.9946310979941,78.54300949796509,736,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_23.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_23_final.txt
qwen2.5-3b,warm,0.0,24,2.2181687355041504,0.4634302298701174,148.9506094455719,3749.67578125,281.79419966285275,78.53422237380666,732,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_24.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_24_final.txt
qwen2.5-3b,warm,0.0,25,2.2154340744018555,0.4637726231951444,148.83863615989685,3749.67578125,281.80822987251435,78.53800000000037,731,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_25.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_25_final.txt
qwen2.5-3b,warm,0.0,26,2.1920316219329834,0.4625668082520178,149.19713306427002,3749.67578125,281.66972521767747,78.49776021798397,733,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_26.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_26_final.txt
qwen2.5-3b,warm,0.0,27,2.213515281677246,0.46236097765820766,149.28356981277466,3749.67578125,281.5838541733462,78.50409387755137,734,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_27.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_27_final.txt
qwen2.5-3b,warm,0.0,28,2.2382426261901855,0.4627571796844481,149.1834819316864,3749.67578125,281.75201682526927,78.52794005449628,733,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_28.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_28_final.txt
qwen2.5-3b,warm,0.0,29,2.230273723602295,0.4628918840988973,149.1324577331543,3749.67578125,282.0943361008249,78.54680245231646,733,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_29.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_29_final.txt
qwen2.5-3b,warm,0.0,30,2.2434756755828857,0.4633146947736617,149.0122799873352,3749.67578125,281.78777217984265,78.55436971350652,732,1,6.8150,67,68,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_30.log,/home/orangepi/benchmark_slm/results_stress_final/qwen2.5-3b/open_w5/server_run_qwen2.5-3b_warm_temp_0_0_30_final.txt
