model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-1.5b,cold,0.5,1,26.980974912643433,8.693240182797236,42.28021860122681,140.98046875,0.0,42.61271904761908,209,1,,133,133,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_1.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_1_final.txt
qwen2.5-1.5b,cold,0.5,2,4.157367944717407,8.777758302079961,26.030834197998047,140.9921875,0.0,45.29989999999983,129,1,,192,192,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_2.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_2_final.txt
qwen2.5-1.5b,cold,0.5,3,3.977713108062744,8.722040086850388,20.14365577697754,140.98828125,0.0,45.57466999999996,99,1,,141,141,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_3.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_3_final.txt
qwen2.5-1.5b,cold,0.5,4,3.505404233932495,8.633728344324245,21.921550035476685,141.00390625,0.0,45.67958715596323,108,1,,159,159,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_4.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_4_final.txt
qwen2.5-1.5b,cold,0.5,5,4.285385370254517,8.749156904191654,22.45856499671936,140.98828125,0.0,45.537749999999924,111,1,,159,159,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_5.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_5_final.txt
qwen2.5-1.5b,cold,0.5,6,4.730010271072388,8.711688145474668,19.19333791732788,140.98828125,0.0,45.18201041666661,95,1,,126,126,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_6.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_6_final.txt
qwen2.5-1.5b,cold,0.5,7,3.8792917728424072,8.683680385767625,21.15307354927063,140.99609375,0.0,45.421276190476114,104,1,,150,150,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_7.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_7_final.txt
qwen2.5-1.5b,cold,0.5,8,3.6006524562835693,8.624302323674316,23.19644045829773,140.98828125,0.0,45.5638347826086,114,1,,169,169,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_8.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_8_final.txt
qwen2.5-1.5b,cold,0.5,9,3.4460721015930176,8.526799295076172,21.15494441986084,140.9921875,0.0,45.632247619047554,104,1,,151,151,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_9.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_9_final.txt
qwen2.5-1.5b,cold,0.5,10,3.956470489501953,8.606988031404816,17.550076007843018,140.9921875,0.0,45.25455681818179,87,1,,117,117,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_10.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_10_final.txt
qwen2.5-1.5b,cold,0.5,11,4.2429962158203125,8.935690107743907,19.46286153793335,140.99609375,0.0,45.2499072164948,96,1,,136,136,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_11.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_11_final.txt
qwen2.5-1.5b,cold,0.5,12,3.813178062438965,8.828384805179798,20.6905574798584,141.015625,0.0,45.54895145631064,102,1,,149,149,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_12.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_12_final.txt
qwen2.5-1.5b,cold,0.5,13,4.501030206680298,8.659409555794399,19.16715717315674,140.9921875,0.0,45.21955789473679,94,1,,127,127,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_13.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_13_final.txt
qwen2.5-1.5b,cold,0.5,14,3.9793715476989746,8.816273305244524,17.0234317779541,140.99609375,0.0,45.17669411764703,84,1,,115,115,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_14.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_14_final.txt
qwen2.5-1.5b,cold,0.5,15,3.7971179485321045,8.584955109810139,22.084924697875977,140.9765625,0.0,45.4076909090908,109,1,,157,157,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_15.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_15_final.txt
qwen2.5-1.5b,cold,0.5,16,3.3745667934417725,9.007889571480394,18.13940143585205,140.9453125,0.0,45.63517777777779,89,1,,133,133,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_16.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_16_final.txt
qwen2.5-1.5b,cold,0.5,17,3.492945909500122,8.683374976496875,17.657945156097412,140.96875,0.0,45.51677272727272,87,1,,123,123,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_17.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_17_final.txt
qwen2.5-1.5b,cold,0.5,18,4.177001714706421,8.58370573182821,20.137474298477173,140.98828125,0.0,45.27007999999994,99,1,,137,137,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_18.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-1.5b_cold_temp_0_5_18_final.txt
