model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-7b,cold,0.0,1,112.92964506149292,3.32887514234208,170.60678577423096,141.4140625,0.0,41.854498815165954,843,1,,192,192,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_1.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_1_final.txt
qwen2.5-7b,cold,0.0,2,106.42461919784546,3.3300819480248904,164.08085799217224,141.12109375,0.0,41.63890012330445,810,1,,192,192,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_2.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_2_final.txt
qwen2.5-7b,cold,0.0,3,10.425870895385742,3.336831245136295,67.96549034118652,141.09375,0.0,46.66402976190463,335,1,,192,192,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_3.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_3_final.txt
qwen2.5-7b,cold,0.0,4,11.699117422103882,3.4202864295010196,67.83476686477661,141.0859375,0.0,47.12004166666636,335,1,,192,192,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_4.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_4_final.txt
qwen2.5-7b,cold,0.0,5,11.480922937393188,3.3667356190578572,68.2124342918396,141.06640625,0.0,47.39129376854563,336,1,,191,191,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_5.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_5_final.txt
qwen2.5-7b,cold,0.0,6,11.528903245925903,3.3366188142091873,68.7724814414978,141.07421875,0.014538604983763224,47.400070588234954,339,1,,191,191,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_6.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_6_final.txt
qwen2.5-7b,cold,0.0,7,10.068003177642822,3.3289696107823734,67.74350714683533,141.0703125,0.014722053043044359,47.56233928571392,335,1,,192,192,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_7.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_7_final.txt
qwen2.5-7b,cold,0.0,8,10.112739086151123,3.3269228939567332,67.52314686775208,141.05859375,0.0,47.633934131736204,333,1,,191,191,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_8.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_8_final.txt
qwen2.5-7b,cold,0.0,9,11.232524871826172,3.335598086978174,68.79341650009155,141.06640625,0.014537434812133224,47.476082352940814,339,1,,192,192,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_9.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_9_final.txt
qwen2.5-7b,cold,0.0,10,11.488402128219604,3.3163039459253265,69.38418102264404,141.0859375,0.0,47.45441107871683,342,1,,192,192,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_10.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_10_final.txt
qwen2.5-7b,cold,0.0,11,12.219273805618286,3.3385237009885445,69.72972369194031,141.0703125,0.0,47.466060869564856,344,1,,192,192,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_11.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_11_final.txt
qwen2.5-7b,cold,0.0,12,12.220239877700806,3.403296167489025,68.63613510131836,141.09765625,0.0,47.51517109144507,338,1,,192,192,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_12.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_12_final.txt
qwen2.5-7b,cold,0.0,13,11.917866468429565,3.3487070525167257,69.2534282207489,141.0703125,0.0,47.52439358600545,342,1,,192,192,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_13.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_13_final.txt
qwen2.5-7b,cold,0.0,14,11.155662298202515,3.3063202821081177,68.92381048202515,141.05859375,0.014521778696177538,47.47864139941654,342,1,,191,191,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_14.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_14_final.txt
qwen2.5-7b,cold,0.0,15,12.321345090866089,3.35516314173659,69.54658031463623,141.06640625,0.0,47.43394782608659,344,1,,192,192,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_15.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_15_final.txt
qwen2.5-7b,cold,0.0,16,11.462146282196045,3.288094648154298,69.55049848556519,141.07421875,0.0,47.433115606936035,345,1,,191,191,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_16.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_16_final.txt
qwen2.5-7b,cold,0.0,17,11.548908710479736,3.323817972195263,69.31380486488342,141.07421875,0.014351569963825802,47.50284839650107,342,1,,192,192,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_17.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_17_final.txt
qwen2.5-7b,cold,0.0,18,10.334664344787598,3.3575198260123886,67.51973247528076,141.08203125,0.0,47.5979670658679,333,1,,192,192,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_18.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_18_final.txt
qwen2.5-7b,cold,0.0,19,10.654309034347534,3.3466210467603457,68.02560901641846,141.05859375,0.0,47.59130267062282,336,1,,192,192,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_19.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_19_final.txt
qwen2.5-7b,cold,0.0,20,10.754255771636963,3.3311579206131077,68.39187145233154,141.06640625,0.014694618499486637,47.70739349112387,337,1,,192,192,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_20.log,/home/orangepi/benchmark_slm_npu/results_npu_rkllama_final_30runs/server_run_qwen2.5-7b_cold_temp_0_0_20_final.txt
