model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-7b,warm,0.7,1,5.352636098861694,1.0111444438337196,117.1071937084198,58.30078125,0.008534902746001577,43.30423396880385,576,1,,113,113,/dev/shm/npu_baseline_0_7_results/server_run_qwen2.5-7b_warm_temp_0_7_1.log,/dev/shm/npu_baseline_0_7_results/server_run_qwen2.5-7b_warm_temp_0_7_1_final.txt
qwen2.5-7b,warm,0.7,2,5.3747992515563965,1.011801775752441,194.14695262908936,58.30078125,0.0,43.57782322175729,955,1,,191,191,/dev/shm/npu_baseline_0_7_results/server_run_qwen2.5-7b_warm_temp_0_7_2.log,/dev/shm/npu_baseline_0_7_results/server_run_qwen2.5-7b_warm_temp_0_7_2_final.txt
qwen2.5-7b,warm,0.7,3,0.6556363105773926,0.9851088552620653,146.83237528800964,58.30078125,0.020454385593160766,43.65275900276954,721,1,,144,144,/dev/shm/npu_baseline_0_7_results/server_run_qwen2.5-7b_warm_temp_0_7_3.log,/dev/shm/npu_baseline_0_7_results/server_run_qwen2.5-7b_warm_temp_0_7_3_final.txt
qwen2.5-7b,warm,0.7,4,5.457356214523315,1.007341471253591,140.46619272232056,58.30078125,0.0071817927654696445,43.61972398843881,691,1,,136,136,/dev/shm/npu_baseline_0_7_results/server_run_qwen2.5-7b_warm_temp_0_7_4.log,/dev/shm/npu_baseline_0_7_results/server_run_qwen2.5-7b_warm_temp_0_7_4_final.txt
qwen2.5-7b,warm,0.7,5,5.5130534172058105,1.0140596080704332,97.2236385345459,58.30078125,0.030773786621436823,43.59588517745267,478,1,,93,93,/dev/shm/npu_baseline_0_7_results/server_run_qwen2.5-7b_warm_temp_0_7_5.log,/dev/shm/npu_baseline_0_7_results/server_run_qwen2.5-7b_warm_temp_0_7_5_final.txt
qwen2.5-7b,warm,0.7,6,5.372296333312988,1.018301436602298,121.25153970718384,58.30078125,0.00824163085376694,43.66662646566116,596,1,,118,118,/dev/shm/npu_baseline_0_7_results/server_run_qwen2.5-7b_warm_temp_0_7_6.log,/dev/shm/npu_baseline_0_7_results/server_run_qwen2.5-7b_warm_temp_0_7_6_final.txt
qwen2.5-7b,warm,0.7,7,5.275854825973511,1.0134098515356271,121.714430809021,58.30078125,0.016465980509027332,43.713707846410145,598,1,,118,118,/dev/shm/npu_baseline_0_7_results/server_run_qwen2.5-7b_warm_temp_0_7_7.log,/dev/shm/npu_baseline_0_7_results/server_run_qwen2.5-7b_warm_temp_0_7_7_final.txt
qwen2.5-7b,warm,0.7,8,5.404702186584473,1.0186596492766498,193.8876760005951,58.30078125,0.0051496268014293595,43.70190880503137,953,1,,192,192,/dev/shm/npu_baseline_0_7_results/server_run_qwen2.5-7b_warm_temp_0_7_8.log,/dev/shm/npu_baseline_0_7_results/server_run_qwen2.5-7b_warm_temp_0_7_8_final.txt
qwen2.5-7b,warm,0.7,9,5.292337417602539,1.013325013583579,144.43821668624878,58.30078125,0.013683092798575556,43.66870745428922,710,1,,141,141,/dev/shm/npu_baseline_0_7_results/server_run_qwen2.5-7b_warm_temp_0_7_9.log,/dev/shm/npu_baseline_0_7_results/server_run_qwen2.5-7b_warm_temp_0_7_9_final.txt
qwen2.5-7b,warm,0.7,10,5.332496404647827,1.010665601358743,156.71788024902344,58.30078125,0.012697862841431382,43.58789753566754,770,0,,153,153,/dev/shm/npu_baseline_0_7_results/server_run_qwen2.5-7b_warm_temp_0_7_10.log,/dev/shm/npu_baseline_0_7_results/server_run_qwen2.5-7b_warm_temp_0_7_10_final.txt
