model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
1,warm,0.7,1,5.887217044830322,0.8906693276746214,167.5633807182312,262.765625,0.6751122657642918,49.688874396135326,827,1,,144,144,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_7_1.log,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_7_1_final.txt
2,warm,0.7,2,5.894614934921265,0.8922941123946715,180.72486186027527,262.8046875,0.6001932080965845,49.519284116331164,893,1,,156,156,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_7_2.log,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_7_2_final.txt
3,warm,0.7,3,5.899950742721558,0.892564799519131,129.14030265808105,254.55859375,0.8465265043008585,49.426061032863714,638,1,,110,110,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_7_3.log,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_7_3_final.txt
4,warm,0.7,4,5.837076425552368,0.8908912469438725,184.31003880500793,254.57421875,0.5771869399133276,49.98876315789475,911,1,,159,159,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_7_4.log,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_7_4_final.txt
5,warm,0.7,5,5.785265922546387,0.8918358038058235,187.43305277824402,254.5703125,0.5573892999501041,50.314300970873965,926,1,,162,162,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_7_5.log,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_7_5_final.txt
6,warm,0.7,6,5.823033571243286,0.8914158011873836,142.68396854400635,254.57421875,0.7024095715522332,50.032803116147214,705,1,,122,122,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_7_6.log,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_7_6_final.txt
7,warm,0.7,7,5.907351970672607,0.892804936220718,161.59645533561707,254.57421875,0.6152438157236985,49.621460575719645,798,1,,139,139,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_7_7.log,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_7_7_final.txt
8,warm,0.7,8,5.825350522994995,0.892774949843209,164.8799924850464,254.5703125,0.6077747062694352,49.756700980392026,815,1,,142,142,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_7_8.log,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_7_8_final.txt
9,warm,0.7,9,6.067201614379883,0.8909075630967477,206.98591351509094,373.80859375,0.6520804046239399,49.62371484375022,1023,1,,179,179,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_7_9.log,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_7_9_final.txt
10,warm,0.7,10,5.8622660636901855,0.8914929883374956,150.56334805488586,272.7421875,0.7192852103077579,49.899471849865805,745,1,,129,129,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_7_10.log,/dev/shm/npu_pinning_t07_warm_10runs/cache_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_7_10_final.txt
