model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-7b,warm,0.0,1,0.8239777088165283,3.4622522098888613,38.08296179771423,277.171875,2.5294047438029708,55.26668421052626,189,1,,129,129,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/cpu_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_0_1.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/cpu_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_0_1_final.txt
qwen2.5-7b,warm,0.0,2,2.2766733169555664,3.588135685541559,41.29414987564087,277.203125,2.0410990856244426,56.146529126213586,205,1,,140,140,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/cpu_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_0_2.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/cpu_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_0_2_final.txt
qwen2.5-7b,warm,0.0,3,2.1754560470581055,3.584561814476295,48.764135122299194,343.6015625,1.607223484965455,56.44857201646096,242,1,,167,167,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/cpu_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_0_3.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/cpu_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_0_3_final.txt
qwen2.5-7b,warm,0.0,4,2.4488561153411865,3.595439944260551,30.818124294281006,356.28515625,3.210471721224094,56.62374025974024,153,1,,102,102,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/cpu_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_0_4.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/cpu_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_0_4_final.txt
qwen2.5-7b,warm,0.0,5,2.3127858638763428,3.5843753547520674,55.599615812301636,347.34765625,1.672921977571891,56.78385559566797,276,1,,191,191,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/cpu_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_0_5.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/cpu_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_0_5_final.txt
qwen2.5-7b,warm,0.0,6,0.769413948059082,3.474842690894893,38.75674510002136,363.07421875,2.3258766913149547,56.67572538860111,192,1,,132,132,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/cpu_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_0_6.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/cpu_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_0_6_final.txt
qwen2.5-7b,warm,0.0,7,2.4039721488952637,3.5903700374852603,46.41057825088501,348.7265625,2.1405162359768806,57.05127705627725,230,1,,158,158,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/cpu_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_0_7.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/cpu_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_0_7_final.txt
qwen2.5-7b,warm,0.0,8,2.2246363162994385,3.590131833600699,33.699803590774536,364.671875,2.2994967105547666,57.25755357142854,167,1,,113,113,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/cpu_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_0_8.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/cpu_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_0_8_final.txt
qwen2.5-7b,warm,0.0,9,2.4482648372650146,3.5863112432522115,49.01421761512756,348.78125,2.0898227486163226,57.208647540983804,243,1,,167,167,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/cpu_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_0_9.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/cpu_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_0_9_final.txt
qwen2.5-7b,warm,0.0,10,2.4117510318756104,3.5913358730488336,46.68497014045715,364.67578125,2.1686673418931166,57.243618025751246,232,1,,159,159,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/cpu_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_0_10.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/cpu_w5/qwen2.5-7b/server_run_qwen2.5-7b_warm_temp_0_0_10_final.txt
