model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
1,warm,0.7,1,1.568089246749878,4.493887340256736,30.496273279190063,278.08984375,2.9639128349793484,50.41486184210504,151,1,,130,130,/dev/shm/npu_pinning_t07_warm_10runs/itimer_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_1.log,/dev/shm/npu_pinning_t07_warm_10runs/itimer_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_1_final.txt
2,warm,0.7,2,1.4957859516143799,4.488313700650648,44.27354454994202,278.0546875,2.046252651323274,51.30750000000003,219,1,,192,192,/dev/shm/npu_pinning_t07_warm_10runs/itimer_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_2.log,/dev/shm/npu_pinning_t07_warm_10runs/itimer_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_2_final.txt
3,warm,0.7,3,1.5191497802734375,4.410294956052481,27.141018867492676,278.3203125,2.9696643323387297,51.741651851851884,134,1,,113,113,/dev/shm/npu_pinning_t07_warm_10runs/itimer_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_3.log,/dev/shm/npu_pinning_t07_warm_10runs/itimer_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_3_final.txt
4,warm,0.7,4,1.7053608894348145,4.516786133023197,44.21346163749695,399.3046875,2.4740774906961582,51.928427272727255,219,1,,192,192,/dev/shm/npu_pinning_t07_warm_10runs/itimer_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_4.log,/dev/shm/npu_pinning_t07_warm_10runs/itimer_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_4_final.txt
5,warm,0.7,5,1.5054075717926025,4.476338459297884,27.642841339111328,358.60546875,2.978667570847024,52.33082608695652,137,1,,117,117,/dev/shm/npu_pinning_t07_warm_10runs/itimer_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_5.log,/dev/shm/npu_pinning_t07_warm_10runs/itimer_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_5_final.txt
6,warm,0.7,6,1.5074894428253174,4.493741452090058,25.76344656944275,358.828125,3.0578267135611457,52.60546875,127,1,,109,109,/dev/shm/npu_pinning_t07_warm_10runs/itimer_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_6.log,/dev/shm/npu_pinning_t07_warm_10runs/itimer_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_6_final.txt
7,warm,0.7,7,1.5211739540100098,4.487730560308028,19.347556114196777,358.60546875,3.9399956692063154,52.64442268041237,96,1,,80,80,/dev/shm/npu_pinning_t07_warm_10runs/itimer_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_7.log,/dev/shm/npu_pinning_t07_warm_10runs/itimer_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_7_final.txt
8,warm,0.7,8,1.581418752670288,4.480679763105429,26.13126516342163,410.91015625,3.3177666235184566,52.64940000000001,129,1,,110,110,/dev/shm/npu_pinning_t07_warm_10runs/itimer_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_8.log,/dev/shm/npu_pinning_t07_warm_10runs/itimer_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_8_final.txt
9,warm,0.7,9,1.5158274173736572,4.493502210698559,23.547640323638916,361.98046875,3.603994057102492,52.692,116,1,,99,99,/dev/shm/npu_pinning_t07_warm_10runs/itimer_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_9.log,/dev/shm/npu_pinning_t07_warm_10runs/itimer_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_9_final.txt
10,warm,0.7,10,1.5577404499053955,4.503670397140606,23.761852025985718,410.9453125,3.455686963150424,52.692,118,1,,100,100,/dev/shm/npu_pinning_t07_warm_10runs/itimer_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_10.log,/dev/shm/npu_pinning_t07_warm_10runs/itimer_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_0_7_10_final.txt
