model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-1.5b,warm,0.5,1,1.3346290588378906,8.51035716966929,23.895374298095703,278.35546875,3.963435923528788,59.17626890756307,118,1,,192,192,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_1.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_1_final.txt
qwen2.5-1.5b,warm,0.5,2,1.306736707687378,8.499952903328698,18.718597888946533,287.609375,4.860544271486308,59.280648936170195,93,1,,148,148,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_2.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_2_final.txt
qwen2.5-1.5b,warm,0.5,3,1.3038296699523926,8.462577016176837,19.028926849365234,287.61328125,4.667155422386617,59.289021052631576,94,1,,150,150,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_3.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_3_final.txt
qwen2.5-1.5b,warm,0.5,4,1.318612813949585,8.475525610612936,18.662669897079468,288.68359375,4.765414148627726,59.301870967741934,92,1,,147,147,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_4.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_4_final.txt
qwen2.5-1.5b,warm,0.5,5,1.3060407638549805,8.457944438465388,23.651895761489868,288.68359375,3.961334110273775,59.34855084745766,117,1,,189,189,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_5.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_5_final.txt
qwen2.5-1.5b,warm,0.5,6,1.3316006660461426,8.480439407315188,17.840179204940796,288.68359375,5.038812655235866,59.37078651685391,88,1,,140,140,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_6.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_6_final.txt
qwen2.5-1.5b,warm,0.5,7,1.3161499500274658,8.481341738287792,18.884124994277954,288.69140625,4.661933617003321,59.42793617021276,93,1,,149,149,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_7.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_7_final.txt
qwen2.5-1.5b,warm,0.5,8,1.2926385402679443,8.48615762509554,19.793355464935303,288.69140625,4.560859769410304,59.45134343434343,98,1,,157,157,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_8.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_8_final.txt
qwen2.5-1.5b,warm,0.5,9,1.3068621158599854,8.498468474558663,16.839072465896606,288.69140625,5.086769315666381,59.51560714285713,83,1,,132,132,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_9.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_9_final.txt
qwen2.5-1.5b,warm,0.5,10,1.3040239810943604,8.519376352526946,17.502392768859863,288.6953125,4.985097690147325,59.39423863636361,87,1,,138,138,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_10.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/memcpy_w5/qwen2.5-1.5b/server_run_qwen2.5-1.5b_warm_temp_0_5_10_final.txt
