model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-0.5b,warm,1.0,1,0.9784128665924072,18.089156302790432,9.104828357696533,278.03125,9.73769110805829,50.14371739130434,45,1,,147,147,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_1_0_1.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_1_0_1_final.txt
qwen2.5-0.5b,warm,1.0,2,0.9633831977844238,18.215223830048235,8.264967918395996,287.27734375,10.443982869211244,50.692166666666665,41,1,,133,133,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_1_0_2.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_1_0_2_final.txt
qwen2.5-0.5b,warm,1.0,3,1.0104234218597412,18.05621232315744,7.213274717330933,408.25,12.239117496388873,50.87163888888889,35,1,,112,112,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_1_0_3.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_1_0_3_final.txt
qwen2.5-0.5b,warm,1.0,4,1.063154697418213,17.92915755699346,7.811938047409058,362.90234375,12.593028786897312,50.916999999999994,38,1,,121,121,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_1_0_4.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_1_0_4_final.txt
qwen2.5-0.5b,warm,1.0,5,0.9474530220031738,18.287424260391607,11.446471214294434,414.9609375,7.892796146196905,51.461333333333265,56,1,,192,192,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_1_0_5.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_1_0_5_final.txt
qwen2.5-0.5b,warm,1.0,6,1.0419187545776367,18.239452459452902,6.031103610992432,375.2109375,15.059113403490079,51.56058064516129,30,1,,91,91,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_1_0_6.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_1_0_6_final.txt
qwen2.5-0.5b,warm,1.0,7,1.0736982822418213,18.247603499596657,8.362326622009277,375.21484375,11.423958215592675,51.61516666666665,41,1,,133,133,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_1_0_7.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_1_0_7_final.txt
qwen2.5-0.5b,warm,1.0,8,0.7836201190948486,18.308737419604178,7.501724004745483,414.91015625,9.30205538208533,51.74471052631579,37,1,,123,123,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_1_0_8.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_1_0_8_final.txt
qwen2.5-0.5b,warm,1.0,9,1.0211050510406494,18.18278199067428,7.950737714767456,414.9140625,11.321403474622112,51.722849999999994,39,1,,126,126,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_1_0_9.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_1_0_9_final.txt
qwen2.5-0.5b,warm,1.0,10,1.0090217590332031,18.199106713452057,6.833483457565308,375.21875,13.054322512382177,51.71625714285714,34,1,,106,106,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_1_0_10.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_1_0_10_final.txt
qwen2.5-0.5b,warm,1.0,1,0.9784128665924072,18.089156302790432,9.104828357696533,278.03125,9.73769110805829,50.14371739130434,45,1,,147,147,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_1_0_1.log,/home/orangepi/benchmark_slm_npu/results_stress_npu_pinning/open_w5/qwen2.5-0.5b/server_run_qwen2.5-0.5b_warm_temp_1_0_1_final.txt
