model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-0.5b,warm,1.0,1,1.3616151809692383,13.583510679018126,11.74184775352478,140.47265625,0.0,57.05669491525417,58,1,,141,141,server_run_qwen2.5-0.5b_warm_temp_1_0_1.log,server_run_qwen2.5-0.5b_warm_temp_1_0_1_final.txt
qwen2.5-0.5b,warm,1.0,2,1.192906379699707,13.68694589604392,10.983257055282593,140.47265625,0.0,57.77689090909091,54,1,,134,134,server_run_qwen2.5-0.5b_warm_temp_1_0_2.log,server_run_qwen2.5-0.5b_warm_temp_1_0_2_final.txt
qwen2.5-0.5b,warm,1.0,3,1.150486946105957,13.31981378603892,7.83226203918457,140.47265625,0.0,57.99333333333334,38,1,,89,89,server_run_qwen2.5-0.5b_warm_temp_1_0_3.log,server_run_qwen2.5-0.5b_warm_temp_1_0_3_final.txt
qwen2.5-0.5b,warm,1.0,4,1.2410767078399658,13.68603302566665,11.10514760017395,140.47265625,0.0,57.73553571428568,55,1,,135,135,server_run_qwen2.5-0.5b_warm_temp_1_0_4.log,server_run_qwen2.5-0.5b_warm_temp_1_0_4_final.txt
qwen2.5-0.5b,warm,1.0,5,1.2329380512237549,14.08289774537284,9.327862977981567,140.47265625,0.0,57.856872340425525,46,1,,114,114,server_run_qwen2.5-0.5b_warm_temp_1_0_5.log,server_run_qwen2.5-0.5b_warm_temp_1_0_5_final.txt
qwen2.5-0.5b,warm,1.0,6,1.217240333557129,14.19725214736623,11.219175815582275,140.47265625,0.0,58.065178571428554,55,1,,142,142,server_run_qwen2.5-0.5b_warm_temp_1_0_6.log,server_run_qwen2.5-0.5b_warm_temp_1_0_6_final.txt
qwen2.5-0.5b,warm,1.0,7,1.1577320098876953,13.945346863609396,9.189084768295288,140.47265625,0.0,58.149739130434774,45,1,,112,112,server_run_qwen2.5-0.5b_warm_temp_1_0_7.log,server_run_qwen2.5-0.5b_warm_temp_1_0_7_final.txt
qwen2.5-0.5b,warm,1.0,8,1.4590013027191162,13.978982983131305,15.19390606880188,140.47265625,0.0,57.98710526315783,75,1,,192,192,server_run_qwen2.5-0.5b_warm_temp_1_0_8.log,server_run_qwen2.5-0.5b_warm_temp_1_0_8_final.txt
qwen2.5-0.5b,warm,1.0,9,1.2138493061065674,13.353263371910087,15.517468929290771,140.47265625,0.0,57.910499999999956,77,1,,191,191,server_run_qwen2.5-0.5b_warm_temp_1_0_9.log,server_run_qwen2.5-0.5b_warm_temp_1_0_9_final.txt
qwen2.5-0.5b,warm,1.0,10,1.0093903541564941,13.618416824664275,11.289586782455444,140.47265625,0.0,58.065178571428554,55,1,,140,140,server_run_qwen2.5-0.5b_warm_temp_1_0_10.log,server_run_qwen2.5-0.5b_warm_temp_1_0_10_final.txt
qwen2.5-0.5b,warm,1.0,11,1.327375888824463,13.990985853057804,11.262344121932983,140.47265625,0.0,58.08166071428569,55,1,,139,139,server_run_qwen2.5-0.5b_warm_temp_1_0_11.log,server_run_qwen2.5-0.5b_warm_temp_1_0_11_final.txt
