model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-7b,warm,1.0,1,2.9244868755340576,2.7748687052637364,54.81883406639099,139.9609375,0.018023833777785936,59.08176102941172,271,1,,144,144,server_run_qwen2.5-7b_warm_temp_1_0_1.log,server_run_qwen2.5-7b_warm_temp_1_0_1_final.txt
qwen2.5-7b,warm,1.0,2,2.6759772300720215,2.7755259304135005,52.03599166870117,139.9609375,0.0,59.13511627906963,257,0,,137,137,server_run_qwen2.5-7b_warm_temp_1_0_2.log,server_run_qwen2.5-7b_warm_temp_1_0_2_final.txt
qwen2.5-7b,warm,1.0,3,2.7206389904022217,2.7830691864728956,63.085649251937866,139.9609375,0.0,59.13531309904144,312,1,,168,168,server_run_qwen2.5-7b_warm_temp_1_0_3.log,server_run_qwen2.5-7b_warm_temp_1_0_3_final.txt
qwen2.5-7b,warm,1.0,4,2.7569992542266846,2.8072291802141653,71.15184259414673,139.9609375,0.0,59.20007932011309,352,1,,192,192,server_run_qwen2.5-7b_warm_temp_1_0_4.log,server_run_qwen2.5-7b_warm_temp_1_0_4_final.txt
qwen2.5-7b,warm,1.0,5,2.873530626296997,2.79323158072043,38.674357414245605,139.9609375,0.0,59.446260416666604,191,1,,100,100,server_run_qwen2.5-7b_warm_temp_1_0_5.log,server_run_qwen2.5-7b_warm_temp_1_0_5_final.txt
qwen2.5-7b,warm,1.0,6,2.7217254638671875,2.7792416151592336,60.29138731956482,139.9609375,0.0,59.39379264214033,298,1,,160,160,server_run_qwen2.5-7b_warm_temp_1_0_6.log,server_run_qwen2.5-7b_warm_temp_1_0_6_final.txt
qwen2.5-7b,warm,1.0,7,2.843632459640503,2.776520140233168,66.59249472618103,139.9609375,0.015061375449923062,59.45509393939378,329,0,,177,177,server_run_qwen2.5-7b_warm_temp_1_0_7.log,server_run_qwen2.5-7b_warm_temp_1_0_7_final.txt
qwen2.5-7b,warm,1.0,8,2.789621114730835,2.763298573064101,61.77709412574768,139.9609375,0.0,59.59343464052277,305,1,,163,163,server_run_qwen2.5-7b_warm_temp_1_0_8.log,server_run_qwen2.5-7b_warm_temp_1_0_8_final.txt
qwen2.5-7b,warm,1.0,9,2.585472345352173,2.8298029422511397,26.615414142608643,139.9609375,0.0,59.2579242424242,131,1,,68,68,server_run_qwen2.5-7b_warm_temp_1_0_9.log,server_run_qwen2.5-7b_warm_temp_1_0_9_final.txt
qwen2.5-7b,warm,1.0,10,2.7636823654174805,2.8054592215779044,66.21140551567078,139.9609375,0.0,59.475656534954226,328,1,,178,178,server_run_qwen2.5-7b_warm_temp_1_0_10.log,server_run_qwen2.5-7b_warm_temp_1_0_10_final.txt
