model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-0.5b,warm,1.0,1,2.8360178470611572,18.516112753474797,8.020691394805908,142.27734375,0.0,60.88432499999997,39,1,,96,96,server_run_qwen2.5-0.5b_warm_temp_1_0_1.log,server_run_qwen2.5-0.5b_warm_temp_1_0_1_final.txt
qwen2.5-0.5b,warm,1.0,2,2.7943480014801025,18.978823649602685,7.536475419998169,142.27734375,0.0,60.68381578947368,37,1,,90,90,server_run_qwen2.5-0.5b_warm_temp_1_0_2.log,server_run_qwen2.5-0.5b_warm_temp_1_0_2_final.txt
qwen2.5-0.5b,warm,1.0,3,2.7426514625549316,18.76183185228828,9.085315704345703,142.27734375,0.0,60.91954347826087,45,1,,119,119,server_run_qwen2.5-0.5b_warm_temp_1_0_3.log,server_run_qwen2.5-0.5b_warm_temp_1_0_3_final.txt
qwen2.5-0.5b,warm,1.0,4,2.7417075634002686,18.724898259502382,9.844549894332886,142.27734375,0.0,60.99977551020405,48,1,,133,133,server_run_qwen2.5-0.5b_warm_temp_1_0_4.log,server_run_qwen2.5-0.5b_warm_temp_1_0_4_final.txt
qwen2.5-0.5b,warm,1.0,5,2.7231125831604004,18.896792901265698,10.50221037864685,142.27734375,0.0,61.29592452830184,52,1,,147,147,server_run_qwen2.5-0.5b_warm_temp_1_0_5.log,server_run_qwen2.5-0.5b_warm_temp_1_0_5_final.txt
qwen2.5-0.5b,warm,1.0,6,2.7375004291534424,18.369271583506737,8.399129390716553,142.27734375,0.0,61.175714285714264,41,1,,104,104,server_run_qwen2.5-0.5b_warm_temp_1_0_6.log,server_run_qwen2.5-0.5b_warm_temp_1_0_6_final.txt
qwen2.5-0.5b,warm,1.0,7,2.7435762882232666,19.178828074334618,9.678306579589844,142.27734375,0.0,61.357734693877525,48,1,,133,133,server_run_qwen2.5-0.5b_warm_temp_1_0_7.log,server_run_qwen2.5-0.5b_warm_temp_1_0_7_final.txt
qwen2.5-0.5b,warm,1.0,8,2.739370346069336,18.936888523928864,7.914454936981201,142.27734375,0.0,61.32297499999997,39,1,,98,98,server_run_qwen2.5-0.5b_warm_temp_1_0_8.log,server_run_qwen2.5-0.5b_warm_temp_1_0_8_final.txt
qwen2.5-0.5b,warm,1.0,9,2.7451252937316895,18.834402561687853,7.470520734786987,142.27734375,0.0,61.16978947368419,37,1,,89,89,server_run_qwen2.5-0.5b_warm_temp_1_0_9.log,server_run_qwen2.5-0.5b_warm_temp_1_0_9_final.txt
qwen2.5-0.5b,warm,1.0,10,2.7850840091705322,18.934545535940508,12.92527985572815,142.27734375,0.0,61.59630769230761,64,1,,192,192,server_run_qwen2.5-0.5b_warm_temp_1_0_10.log,server_run_qwen2.5-0.5b_warm_temp_1_0_10_final.txt
qwen2.5-0.5b,warm,1.0,11,2.7072653770446777,18.805494390795378,8.982027292251587,142.27734375,0.0,61.67686666666664,44,1,,118,118,server_run_qwen2.5-0.5b_warm_temp_1_0_11.log,server_run_qwen2.5-0.5b_warm_temp_1_0_11_final.txt
qwen2.5-0.5b,warm,1.0,12,2.7018208503723145,18.646629864499474,11.175201892852783,142.27734375,0.0,61.80762499999995,55,1,,158,158,server_run_qwen2.5-0.5b_warm_temp_1_0_12.log,server_run_qwen2.5-0.5b_warm_temp_1_0_12_final.txt
qwen2.5-0.5b,warm,1.0,13,2.73421311378479,19.214752231869,12.726535558700562,142.27734375,0.0,61.85085937499997,63,1,,192,192,server_run_qwen2.5-0.5b_warm_temp_1_0_13.log,server_run_qwen2.5-0.5b_warm_temp_1_0_13_final.txt
qwen2.5-0.5b,warm,1.0,14,2.7133774757385254,18.70760311120673,9.76933217048645,142.27734375,0.0,61.97951020408161,48,1,,132,132,server_run_qwen2.5-0.5b_warm_temp_1_0_14.log,server_run_qwen2.5-0.5b_warm_temp_1_0_14_final.txt
qwen2.5-0.5b,warm,1.0,15,2.780766487121582,18.741419965120073,9.450485229492188,142.27734375,0.0,61.78553191489358,46,1,,125,125,server_run_qwen2.5-0.5b_warm_temp_1_0_15.log,server_run_qwen2.5-0.5b_warm_temp_1_0_15_final.txt
qwen2.5-0.5b,warm,1.0,16,2.74562931060791,18.655132568523076,9.124570846557617,142.27734375,0.0,61.94306521739127,45,1,,119,119,server_run_qwen2.5-0.5b_warm_temp_1_0_16.log,server_run_qwen2.5-0.5b_warm_temp_1_0_16_final.txt
qwen2.5-0.5b,warm,1.0,17,2.729389190673828,18.580716472805126,10.425540208816528,142.27734375,0.0,61.81649999999995,51,1,,143,143,server_run_qwen2.5-0.5b_warm_temp_1_0_17.log,server_run_qwen2.5-0.5b_warm_temp_1_0_17_final.txt
qwen2.5-0.5b,warm,1.0,18,2.7723679542541504,18.913367363503543,9.59294080734253,142.27734375,0.0,61.769166666666614,47,1,,129,129,server_run_qwen2.5-0.5b_warm_temp_1_0_18.log,server_run_qwen2.5-0.5b_warm_temp_1_0_18_final.txt
qwen2.5-0.5b,warm,1.0,19,2.9659266471862793,18.712153083556274,9.058223962783813,142.27734375,0.0,61.7999333333333,44,1,,114,114,server_run_qwen2.5-0.5b_warm_temp_1_0_19.log,server_run_qwen2.5-0.5b_warm_temp_1_0_19_final.txt
qwen2.5-0.5b,warm,1.0,20,2.7138781547546387,18.643985123285432,9.793909549713135,142.27734375,0.0,61.885326530612254,48,1,,132,132,server_run_qwen2.5-0.5b_warm_temp_1_0_20.log,server_run_qwen2.5-0.5b_warm_temp_1_0_20_final.txt
qwen2.5-0.5b,warm,1.0,21,1.1130032539367676,18.846973335289242,11.300315380096436,142.27734375,0.0,62.21447368421053,56,1,,192,192,server_run_qwen2.5-0.5b_warm_temp_1_0_21.log,server_run_qwen2.5-0.5b_warm_temp_1_0_21_final.txt
qwen2.5-0.5b,warm,1.0,22,2.773660659790039,19.337695064484855,8.979157209396362,142.27734375,0.11306505833425816,62.046066666666654,44,1,,120,120,server_run_qwen2.5-0.5b_warm_temp_1_0_22.log,server_run_qwen2.5-0.5b_warm_temp_1_0_22_final.txt
qwen2.5-0.5b,warm,1.0,23,2.727792978286743,18.52192566162187,8.612710237503052,142.27734375,0.0,61.837139534883676,42,1,,109,109,server_run_qwen2.5-0.5b_warm_temp_1_0_23.log,server_run_qwen2.5-0.5b_warm_temp_1_0_23_final.txt
qwen2.5-0.5b,warm,1.0,24,2.7085750102996826,18.494745120327913,10.440500974655151,142.27734375,0.0,61.90524999999998,51,1,,143,143,server_run_qwen2.5-0.5b_warm_temp_1_0_24.log,server_run_qwen2.5-0.5b_warm_temp_1_0_24_final.txt
qwen2.5-0.5b,warm,1.0,25,2.7975025177001953,18.718045621218806,7.8728187084198,142.27734375,0.0,61.761475,39,1,,95,95,server_run_qwen2.5-0.5b_warm_temp_1_0_25.log,server_run_qwen2.5-0.5b_warm_temp_1_0_25_final.txt
qwen2.5-0.5b,warm,1.0,26,2.6929619312286377,18.305170552196504,10.067927360534668,142.27734375,0.0,61.719879999999975,49,1,,135,135,server_run_qwen2.5-0.5b_warm_temp_1_0_26.log,server_run_qwen2.5-0.5b_warm_temp_1_0_26_final.txt
qwen2.5-0.5b,warm,1.0,27,2.7338438034057617,18.848147724548642,8.729127883911133,142.27734375,0.0,61.8390909090909,43,1,,113,113,server_run_qwen2.5-0.5b_warm_temp_1_0_27.log,server_run_qwen2.5-0.5b_warm_temp_1_0_27_final.txt
qwen2.5-0.5b,warm,1.0,28,2.720536947250366,18.441952223671716,8.251404762268066,142.27734375,0.0,61.83295121951217,40,1,,102,102,server_run_qwen2.5-0.5b_warm_temp_1_0_28.log,server_run_qwen2.5-0.5b_warm_temp_1_0_28_final.txt
qwen2.5-0.5b,warm,1.0,29,2.7725396156311035,18.30661920188822,9.983046293258667,142.27734375,0.0,61.84915999999994,49,1,,132,132,server_run_qwen2.5-0.5b_warm_temp_1_0_29.log,server_run_qwen2.5-0.5b_warm_temp_1_0_29_final.txt
qwen2.5-0.5b,warm,1.0,30,2.758054733276367,18.747081087746842,8.99902629852295,142.27734375,0.0,61.88197777777776,44,1,,117,117,server_run_qwen2.5-0.5b_warm_temp_1_0_30.log,server_run_qwen2.5-0.5b_warm_temp_1_0_30_final.txt
