model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-3b,warm,1.0,1,1.4916574954986572,6.785095067839761,8.713369131088257,141.5546875,0.0,65.61499999999995,43,1,,49,49,server_run_qwen2.5-3b_warm_temp_1_0_1.log,server_run_qwen2.5-3b_warm_temp_1_0_1_final.txt
qwen2.5-3b,warm,1.0,2,3.2594449520111084,6.795484910643344,10.76442813873291,141.5546875,0.0,65.71755555555553,53,1,,51,51,server_run_qwen2.5-3b_warm_temp_1_0_2.log,server_run_qwen2.5-3b_warm_temp_1_0_2_final.txt
qwen2.5-3b,warm,1.0,3,1.5623250007629395,6.685187515078208,8.592793464660645,141.5546875,0.0,66.53799999999998,42,1,,47,47,server_run_qwen2.5-3b_warm_temp_1_0_3.log,server_run_qwen2.5-3b_warm_temp_1_0_3_final.txt
qwen2.5-3b,warm,1.0,4,3.179518699645996,6.71345612365187,9.58456540107727,141.5546875,0.0,66.09572916666666,47,1,,43,43,server_run_qwen2.5-3b_warm_temp_1_0_4.log,server_run_qwen2.5-3b_warm_temp_1_0_4_final.txt
qwen2.5-3b,warm,1.0,5,3.222844362258911,6.685506599986715,9.654668092727661,141.5546875,0.0,66.03804166666667,47,1,,43,43,server_run_qwen2.5-3b_warm_temp_1_0_5.log,server_run_qwen2.5-3b_warm_temp_1_0_5_final.txt
qwen2.5-3b,warm,1.0,6,1.602097988128662,6.546983863619321,9.239202499389648,141.5546875,0.0,66.85904347826082,45,1,,50,50,server_run_qwen2.5-3b_warm_temp_1_0_6.log,server_run_qwen2.5-3b_warm_temp_1_0_6_final.txt
qwen2.5-3b,warm,1.0,7,1.6157796382904053,6.703930178582364,8.775758743286133,141.5546875,0.0,67.12536363636359,43,1,,48,48,server_run_qwen2.5-3b_warm_temp_1_0_7.log,server_run_qwen2.5-3b_warm_temp_1_0_7_final.txt
qwen2.5-3b,warm,1.0,8,1.54921555519104,6.63389867904989,8.784779787063599,141.5546875,0.0,67.18829545454541,43,1,,48,48,server_run_qwen2.5-3b_warm_temp_1_0_8.log,server_run_qwen2.5-3b_warm_temp_1_0_8_final.txt
qwen2.5-3b,warm,1.0,9,3.0971827507019043,6.6452097980033935,10.320430994033813,141.5546875,0.0,66.64449999999995,51,1,,48,48,server_run_qwen2.5-3b_warm_temp_1_0_9.log,server_run_qwen2.5-3b_warm_temp_1_0_9_final.txt
qwen2.5-3b,warm,1.0,10,1.666571855545044,6.607207782424857,8.780015468597412,141.5546875,0.11531449057763155,66.99949999999995,43,1,,47,47,server_run_qwen2.5-3b_warm_temp_1_0_10.log,server_run_qwen2.5-3b_warm_temp_1_0_10_final.txt
qwen2.5-3b,warm,1.0,11,1.4223453998565674,6.705246329944184,8.730056047439575,141.5546875,0.0,67.31415909090903,43,1,,49,49,server_run_qwen2.5-3b_warm_temp_1_0_11.log,server_run_qwen2.5-3b_warm_temp_1_0_11_final.txt
qwen2.5-3b,warm,1.0,12,3.1868674755096436,6.686109605888,9.61811113357544,141.5546875,0.0,66.74952083333329,47,1,,43,43,server_run_qwen2.5-3b_warm_temp_1_0_12.log,server_run_qwen2.5-3b_warm_temp_1_0_12_final.txt
qwen2.5-3b,warm,1.0,13,3.218432664871216,6.634584407291071,9.398171663284302,141.5546875,0.0,66.43980851063826,46,1,,41,41,server_run_qwen2.5-3b_warm_temp_1_0_13.log,server_run_qwen2.5-3b_warm_temp_1_0_13_final.txt
qwen2.5-3b,warm,1.0,14,1.5582129955291748,6.680719388908736,8.743067979812622,141.5546875,0.0,67.02047727272723,43,1,,48,48,server_run_qwen2.5-3b_warm_temp_1_0_14.log,server_run_qwen2.5-3b_warm_temp_1_0_14_final.txt
qwen2.5-3b,warm,1.0,15,1.5048418045043945,6.781096392536382,7.9934680461883545,141.5546875,0.0,67.20717499999996,39,1,,44,44,server_run_qwen2.5-3b_warm_temp_1_0_15.log,server_run_qwen2.5-3b_warm_temp_1_0_15_final.txt
qwen2.5-3b,warm,1.0,16,1.4704177379608154,6.815672565084012,8.219568252563477,141.5546875,0.0,67.43848780487801,40,1,,46,46,server_run_qwen2.5-3b_warm_temp_1_0_16.log,server_run_qwen2.5-3b_warm_temp_1_0_16_final.txt
qwen2.5-3b,warm,1.0,17,3.1550493240356445,6.791168242762055,9.486802339553833,141.5546875,0.0,66.9111276595744,46,1,,43,43,server_run_qwen2.5-3b_warm_temp_1_0_17.log,server_run_qwen2.5-3b_warm_temp_1_0_17_final.txt
qwen2.5-3b,warm,1.0,18,3.132777690887451,6.721229144298188,9.97676396369934,141.5546875,0.0,66.83335999999994,49,1,,46,46,server_run_qwen2.5-3b_warm_temp_1_0_18.log,server_run_qwen2.5-3b_warm_temp_1_0_18_final.txt
qwen2.5-3b,warm,1.0,19,3.309720754623413,6.593128898274325,10.893373489379883,141.5546875,0.0,66.62346296296292,53,1,,50,50,server_run_qwen2.5-3b_warm_temp_1_0_19.log,server_run_qwen2.5-3b_warm_temp_1_0_19_final.txt
qwen2.5-3b,warm,1.0,20,1.538403034210205,6.662789119880838,7.992156744003296,141.5546875,0.0,67.16102499999997,39,1,,43,43,server_run_qwen2.5-3b_warm_temp_1_0_20.log,server_run_qwen2.5-3b_warm_temp_1_0_20_final.txt
qwen2.5-3b,warm,1.0,21,1.5300953388214111,6.624829546203005,9.077459335327148,141.5546875,0.0,67.31742222222216,44,1,,50,50,server_run_qwen2.5-3b_warm_temp_1_0_21.log,server_run_qwen2.5-3b_warm_temp_1_0_21_final.txt
qwen2.5-3b,warm,1.0,22,1.4959993362426758,6.691603874275887,7.92196249961853,141.5546875,0.0,67.43792499999995,39,1,,43,43,server_run_qwen2.5-3b_warm_temp_1_0_22.log,server_run_qwen2.5-3b_warm_temp_1_0_22_final.txt
