model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-0.5b,warm,0.0,1,1.1823978424072266,22.981289109199786,4.794031620025635,276.671875,20.896141560892303,45.53775000000001,23,1,,83,83,server_run_qwen2.5-0.5b_warm_temp_0_0_1.log,server_run_qwen2.5-0.5b_warm_temp_0_0_1_final.txt
qwen2.5-0.5b,warm,0.0,2,0.979663610458374,23.350432526050195,4.534201622009277,368.90234375,18.46344222789139,46.591173913043484,22,1,,83,83,server_run_qwen2.5-0.5b_warm_temp_0_0_2.log,server_run_qwen2.5-0.5b_warm_temp_0_0_2_final.txt
qwen2.5-0.5b,warm,0.0,3,1.1681349277496338,22.4082405410153,4.872129440307617,364.6640625,19.795348060543127,46.56228000000001,24,1,,83,83,server_run_qwen2.5-0.5b_warm_temp_0_0_3.log,server_run_qwen2.5-0.5b_warm_temp_0_0_3_final.txt
qwen2.5-0.5b,warm,0.0,4,1.1868438720703125,24.497218752269386,4.574983596801758,367.16015625,22.028525798945058,46.87208695652175,22,1,,83,83,server_run_qwen2.5-0.5b_warm_temp_0_0_4.log,server_run_qwen2.5-0.5b_warm_temp_0_0_4_final.txt
qwen2.5-0.5b,warm,0.0,5,1.3264024257659912,21.77108404575785,5.138798713684082,361.44140625,18.82664697073061,46.869000000000014,25,1,,83,83,server_run_qwen2.5-0.5b_warm_temp_0_0_5.log,server_run_qwen2.5-0.5b_warm_temp_0_0_5_final.txt
qwen2.5-0.5b,warm,0.0,6,0.8678271770477295,23.016437581441302,4.473945617675781,369.81640625,15.156232336412565,47.714826086956535,22,1,,83,83,server_run_qwen2.5-0.5b_warm_temp_0_0_6.log,server_run_qwen2.5-0.5b_warm_temp_0_0_6_final.txt
qwen2.5-0.5b,warm,0.0,7,0.8347065448760986,26.18380556393557,4.004604816436768,407.1875,17.548917812245218,47.89140000000002,19,1,,83,83,server_run_qwen2.5-0.5b_warm_temp_0_0_7.log,server_run_qwen2.5-0.5b_warm_temp_0_0_7_final.txt
qwen2.5-0.5b,warm,0.0,8,1.1739895343780518,21.900140027889826,4.963919639587402,369.78125,19.38193501198507,47.78068000000001,24,1,,83,83,server_run_qwen2.5-0.5b_warm_temp_0_0_8.log,server_run_qwen2.5-0.5b_warm_temp_0_0_8_final.txt
qwen2.5-0.5b,warm,0.0,9,1.2664852142333984,26.240231215563334,4.429567098617554,369.79296875,22.43323185720428,47.78236363636365,21,1,,83,83,server_run_qwen2.5-0.5b_warm_temp_0_0_9.log,server_run_qwen2.5-0.5b_warm_temp_0_0_9_final.txt
qwen2.5-0.5b,warm,0.0,10,1.1473901271820068,21.897233459148186,4.937823295593262,407.19921875,18.82405935264191,47.85448000000001,24,1,,83,83,server_run_qwen2.5-0.5b_warm_temp_0_0_10.log,server_run_qwen2.5-0.5b_warm_temp_0_0_10_final.txt
qwen2.5-0.5b,warm,0.0,11,0.9154479503631592,21.990858557410192,4.689743518829346,361.5625,16.007401844477908,48.23004166666667,23,1,,83,83,server_run_qwen2.5-0.5b_warm_temp_0_0_11.log,server_run_qwen2.5-0.5b_warm_temp_0_0_11_final.txt
