model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-3b,warm,0.0,1,1.7124156951904297,6.004594694738294,9.206676721572876,276.55078125,10.020573997442165,44.86556521739131,45,1,,45,45,server_run_qwen2.5-3b_warm_temp_0_0_1.log,server_run_qwen2.5-3b_warm_temp_0_0_1_final.txt
qwen2.5-3b,warm,0.0,2,1.5697355270385742,6.051634757585838,9.00574278831482,290.1796875,8.684972380537266,45.61466666666667,44,1,,45,45,server_run_qwen2.5-3b_warm_temp_0_0_2.log,server_run_qwen2.5-3b_warm_temp_0_0_2_final.txt
qwen2.5-3b,warm,0.0,3,1.6750788688659668,5.978148415330621,9.20249319076538,290.38671875,9.70076960590013,46.1898695652174,45,1,,45,45,server_run_qwen2.5-3b_warm_temp_0_0_3.log,server_run_qwen2.5-3b_warm_temp_0_0_3_final.txt
qwen2.5-3b,warm,0.0,4,1.581099033355713,5.735653404571471,9.426761388778687,377.33984375,7.7799628337916245,46.60312765957446,46,1,,45,45,server_run_qwen2.5-3b_warm_temp_0_0_4.log,server_run_qwen2.5-3b_warm_temp_0_0_4_final.txt
qwen2.5-3b,warm,0.0,5,1.4091355800628662,5.9826260623518595,8.93091607093811,369.8671875,7.349432012167634,47.1324888888889,44,1,,45,45,server_run_qwen2.5-3b_warm_temp_0_0_5.log,server_run_qwen2.5-3b_warm_temp_0_0_5_final.txt
qwen2.5-3b,warm,0.0,6,1.6501083374023438,5.9664452322207175,9.192287683486938,388.90625,9.031666062560003,47.15300000000001,45,1,,45,45,server_run_qwen2.5-3b_warm_temp_0_0_6.log,server_run_qwen2.5-3b_warm_temp_0_0_6_final.txt
qwen2.5-3b,warm,0.0,7,1.5475199222564697,6.015661578239908,9.02799391746521,375.18359375,8.249177972158206,47.23504444444446,44,1,,45,45,server_run_qwen2.5-3b_warm_temp_0_0_7.log,server_run_qwen2.5-3b_warm_temp_0_0_7_final.txt
qwen2.5-3b,warm,0.0,8,1.7845807075500488,6.093090758972082,9.169995069503784,389.85546875,7.951919281301678,47.333586956521756,45,1,,45,45,server_run_qwen2.5-3b_warm_temp_0_0_8.log,server_run_qwen2.5-3b_warm_temp_0_0_8_final.txt
qwen2.5-3b,warm,0.0,9,2.0442087650299072,6.20537932181333,9.295981407165527,376.04296875,9.383548246551598,47.293456521739145,45,1,,45,45,server_run_qwen2.5-3b_warm_temp_0_0_9.log,server_run_qwen2.5-3b_warm_temp_0_0_9_final.txt
qwen2.5-3b,warm,0.0,10,1.5977015495300293,6.432271282925812,8.593675136566162,376.046875,9.799371453270409,47.904279069767455,42,1,,45,45,server_run_qwen2.5-3b_warm_temp_0_0_10.log,server_run_qwen2.5-3b_warm_temp_0_0_10_final.txt
qwen2.5-3b,warm,0.0,11,1.734590768814087,5.978024394893612,9.262161254882812,376.09375,10.466985803124764,47.85528260869567,45,1,,45,45,server_run_qwen2.5-3b_warm_temp_0_0_11.log,server_run_qwen2.5-3b_warm_temp_0_0_11_final.txt
qwen2.5-3b,warm,0.0,12,1.743856430053711,6.09555344601975,9.12628698348999,375.84375,10.51569369323679,47.81515217391306,45,1,,45,45,server_run_qwen2.5-3b_warm_temp_0_0_12.log,server_run_qwen2.5-3b_warm_temp_0_0_12_final.txt
qwen2.5-3b,warm,0.0,13,1.7796969413757324,5.998127949390185,9.282037734985352,375.84375,10.236533721125152,47.93853191489363,46,1,,45,45,server_run_qwen2.5-3b_warm_temp_0_0_13.log,server_run_qwen2.5-3b_warm_temp_0_0_13_final.txt
qwen2.5-3b,warm,0.0,14,1.5131464004516602,6.000430710237621,9.012608051300049,376.09375,7.824135620325305,48.0554888888889,44,1,,45,45,server_run_qwen2.5-3b_warm_temp_0_0_14.log,server_run_qwen2.5-3b_warm_temp_0_0_14_final.txt
qwen2.5-3b,warm,0.0,15,1.8556578159332275,5.971864882689346,9.390992403030396,376.1015625,10.462110232854025,47.87961702127661,46,1,,45,45,server_run_qwen2.5-3b_warm_temp_0_0_15.log,server_run_qwen2.5-3b_warm_temp_0_0_15_final.txt
