model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-1.5b,warm,1.0,1,1.5888936519622803,8.372634014018747,17.593415021896362,140.05078125,0.0,69.46613793103435,86,1,,134,134,server_run_qwen2.5-1.5b_warm_temp_1_0_1.log,server_run_qwen2.5-1.5b_warm_temp_1_0_1_final.txt
qwen2.5-1.5b,warm,1.0,2,3.5536205768585205,8.387830989781332,26.44392442703247,140.05078125,0.0,69.50579999999988,129,1,,192,192,server_run_qwen2.5-1.5b_warm_temp_1_0_2.log,server_run_qwen2.5-1.5b_warm_temp_1_0_2_final.txt
qwen2.5-1.5b,warm,1.0,3,3.527323007583618,8.392825692293965,18.659294605255127,140.05078125,0.0,69.6581413043477,91,1,,127,127,server_run_qwen2.5-1.5b_warm_temp_1_0_3.log,server_run_qwen2.5-1.5b_warm_temp_1_0_3_final.txt
qwen2.5-1.5b,warm,1.0,4,3.5229005813598633,8.379761611033745,18.678462982177734,140.05078125,0.0,69.71833695652158,91,1,,127,127,server_run_qwen2.5-1.5b_warm_temp_1_0_4.log,server_run_qwen2.5-1.5b_warm_temp_1_0_4_final.txt
qwen2.5-1.5b,warm,1.0,5,3.6140785217285156,8.446869413953696,20.89858865737915,140.05078125,0.0,69.55791262135907,102,1,,146,146,server_run_qwen2.5-1.5b_warm_temp_1_0_5.log,server_run_qwen2.5-1.5b_warm_temp_1_0_5_final.txt
qwen2.5-1.5b,warm,1.0,6,3.540759563446045,8.44839857768932,19.401753664016724,140.05078125,0.0,69.41276041666653,95,1,,134,134,server_run_qwen2.5-1.5b_warm_temp_1_0_6.log,server_run_qwen2.5-1.5b_warm_temp_1_0_6_final.txt
qwen2.5-1.5b,warm,1.0,7,3.59537672996521,8.39437303154812,21.464489698410034,140.05078125,0.04631680434892321,69.55951886792438,105,1,,150,150,server_run_qwen2.5-1.5b_warm_temp_1_0_7.log,server_run_qwen2.5-1.5b_warm_temp_1_0_7_final.txt
qwen2.5-1.5b,warm,1.0,8,3.6336781978607178,8.315642052326773,26.722695112228394,140.05078125,0.0,69.56769465648846,130,1,,192,192,server_run_qwen2.5-1.5b_warm_temp_1_0_8.log,server_run_qwen2.5-1.5b_warm_temp_1_0_8_final.txt
qwen2.5-1.5b,warm,1.0,9,3.548049211502075,8.310071406395783,20.996756076812744,140.05078125,0.0,69.47726213592217,102,1,,145,145,server_run_qwen2.5-1.5b_warm_temp_1_0_9.log,server_run_qwen2.5-1.5b_warm_temp_1_0_9_final.txt
qwen2.5-1.5b,warm,1.0,10,3.5177347660064697,8.468133325719954,21.939740419387817,140.05078125,0.0,69.43519444444429,107,1,,156,156,server_run_qwen2.5-1.5b_warm_temp_1_0_10.log,server_run_qwen2.5-1.5b_warm_temp_1_0_10_final.txt
qwen2.5-1.5b,warm,1.0,11,1.599273681640625,8.449650737994595,13.789126634597778,140.05078125,0.0,69.5377499999999,67,1,,103,103,server_run_qwen2.5-1.5b_warm_temp_1_0_11.log,server_run_qwen2.5-1.5b_warm_temp_1_0_11_final.txt
qwen2.5-1.5b,warm,1.0,12,3.6017343997955322,8.351419340217992,17.850809335708618,140.05078125,0.0,69.8314318181817,87,1,,119,119,server_run_qwen2.5-1.5b_warm_temp_1_0_12.log,server_run_qwen2.5-1.5b_warm_temp_1_0_12_final.txt
qwen2.5-1.5b,warm,1.0,13,1.798558235168457,8.313372422952146,19.841777324676514,140.05078125,0.050899808431817246,69.78733673469371,97,1,,150,150,server_run_qwen2.5-1.5b_warm_temp_1_0_13.log,server_run_qwen2.5-1.5b_warm_temp_1_0_13_final.txt
qwen2.5-1.5b,warm,1.0,14,3.5854172706604004,8.469217086408893,20.94239354133606,140.05078125,0.0,69.79986407766975,102,1,,147,147,server_run_qwen2.5-1.5b_warm_temp_1_0_14.log,server_run_qwen2.5-1.5b_warm_temp_1_0_14_final.txt
