model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-3b,warm,0.7,1,5.946452379226685,2.1607006365079138,33.71522283554077,278.8828125,13.39655248044082,72.45580368098142,162,1,,60,60,/dev/shm/npu_stress_t07_warm_results/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_1.log,/dev/shm/npu_stress_t07_warm_results/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_1_final.txt
qwen2.5-3b,warm,0.7,2,5.690202474594116,2.1797453652828405,25.417277336120605,278.84765625,16.56166194291743,72.5793170731707,122,1,,43,43,/dev/shm/npu_stress_t07_warm_results/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_2.log,/dev/shm/npu_stress_t07_warm_results/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_2_final.txt
qwen2.5-3b,warm,0.7,3,5.663333415985107,2.1370093212768886,30.932291984558105,278.859375,13.64046175147637,72.60311409395968,148,1,,54,54,/dev/shm/npu_stress_t07_warm_results/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_3.log,/dev/shm/npu_stress_t07_warm_results/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_3_final.txt
qwen2.5-3b,warm,0.7,4,5.621915102005005,2.1554389447099833,29.746931552886963,278.8671875,13.892339753207613,72.71124999999994,143,1,,52,52,/dev/shm/npu_stress_t07_warm_results/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_4.log,/dev/shm/npu_stress_t07_warm_results/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_4_final.txt
qwen2.5-3b,warm,0.7,5,5.615110635757446,2.136527102496265,26.67732882499695,278.87109375,15.470756023879584,72.46995348837207,128,1,,45,45,/dev/shm/npu_stress_t07_warm_results/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_5.log,/dev/shm/npu_stress_t07_warm_results/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_5_final.txt
qwen2.5-3b,warm,0.7,6,5.652151584625244,2.1453975572407256,26.62728500366211,279.12890625,15.620962460154661,72.49860465116276,128,1,,45,45,/dev/shm/npu_stress_t07_warm_results/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_6.log,/dev/shm/npu_stress_t07_warm_results/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_6_final.txt
qwen2.5-3b,warm,0.7,7,5.685168504714966,2.150903368483405,31.25581979751587,278.90234375,13.847508220278705,72.60837086092707,150,1,,55,55,/dev/shm/npu_stress_t07_warm_results/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_7.log,/dev/shm/npu_stress_t07_warm_results/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_7_final.txt
qwen2.5-3b,warm,0.7,8,6.681681394577026,2.157771448077519,27.536531448364258,400.09375,19.051139447042484,72.610947368421,132,1,,45,45,/dev/shm/npu_stress_t07_warm_results/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_8.log,/dev/shm/npu_stress_t07_warm_results/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_8_final.txt
qwen2.5-3b,warm,0.7,9,5.71687388420105,2.16397970879207,26.511893272399902,299.41015625,17.26533561482759,72.71124999999995,127,1,,45,45,/dev/shm/npu_stress_t07_warm_results/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_9.log,/dev/shm/npu_stress_t07_warm_results/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_9_final.txt
qwen2.5-3b,warm,0.7,10,6.546280145645142,2.158868484900088,27.390532732009888,399.9765625,18.63807222460426,72.62199999999999,131,1,,45,45,/dev/shm/npu_stress_t07_warm_results/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_10.log,/dev/shm/npu_stress_t07_warm_results/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_10_final.txt
qwen2.5-3b,warm,0.7,11,5.721014976501465,2.1709390320834587,26.91000247001648,392.1875,15.77600723156597,72.53089230769226,129,1,,46,46,/dev/shm/npu_stress_t07_warm_results/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_11.log,/dev/shm/npu_stress_t07_warm_results/memcpy_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_11_final.txt
