model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-0.5b,warm,1.0,1,1.3337366580963135,12.942370153037938,10.605608701705933,277.10546875,9.258366192217313,47.571264150943406,52,1,,120,120,server_run_qwen2.5-0.5b_warm_temp_1_0_1.log,server_run_qwen2.5-0.5b_warm_temp_1_0_1_final.txt
qwen2.5-0.5b,warm,1.0,2,4.3580522537231445,12.59672482502986,14.04310941696167,343.45703125,6.970190542758841,46.6522,69,1,,122,122,server_run_qwen2.5-0.5b_warm_temp_1_0_2.log,server_run_qwen2.5-0.5b_warm_temp_1_0_2_final.txt
qwen2.5-0.5b,warm,1.0,3,2.11513090133667,9.500424654491892,14.640886783599854,356.17578125,6.192257265495625,49.695301369862996,72,1,,119,119,server_run_qwen2.5-0.5b_warm_temp_1_0_3.log,server_run_qwen2.5-0.5b_warm_temp_1_0_3_final.txt
qwen2.5-0.5b,warm,1.0,4,1.7652511596679688,12.442563825254295,11.650673627853394,355.47265625,8.00809475289179,50.33663793103446,57,1,,123,123,server_run_qwen2.5-0.5b_warm_temp_1_0_4.log,server_run_qwen2.5-0.5b_warm_temp_1_0_4_final.txt
qwen2.5-0.5b,warm,1.0,5,6.052138805389404,14.977531823449798,13.530006408691406,360.98046875,7.776702415649469,47.87301470588233,67,1,,112,112,server_run_qwen2.5-0.5b_warm_temp_1_0_5.log,server_run_qwen2.5-0.5b_warm_temp_1_0_5_final.txt
qwen2.5-0.5b,warm,1.0,6,1.32716703414917,12.989866043871158,10.103239059448242,376.1015625,9.418807383386836,49.36196078431371,50,1,,114,114,server_run_qwen2.5-0.5b_warm_temp_1_0_6.log,server_run_qwen2.5-0.5b_warm_temp_1_0_6_final.txt
qwen2.5-0.5b,warm,1.0,7,1.3074278831481934,13.847628845975253,10.83974575996399,373.171875,9.071523913207246,50.09392592592591,53,1,,132,132,server_run_qwen2.5-0.5b_warm_temp_1_0_7.log,server_run_qwen2.5-0.5b_warm_temp_1_0_7_final.txt
qwen2.5-0.5b,warm,1.0,8,1.3197638988494873,14.664087356627517,9.639408826828003,364.25,9.899717140582577,51.98052083333334,47,1,,122,122,server_run_qwen2.5-0.5b_warm_temp_1_0_8.log,server_run_qwen2.5-0.5b_warm_temp_1_0_8_final.txt
qwen2.5-0.5b,warm,1.0,9,2.7108840942382812,18.614115379289128,12.971914291381836,364.1875,18.897775809365385,55.48939999999999,64,1,,191,191,server_run_qwen2.5-0.5b_warm_temp_1_0_9.log,server_run_qwen2.5-0.5b_warm_temp_1_0_9_final.txt
qwen2.5-0.5b,warm,1.0,10,2.259645938873291,17.746970891481663,8.683277368545532,364.1953125,27.430663047371223,56.425954545454516,43,1,,114,114,server_run_qwen2.5-0.5b_warm_temp_1_0_10.log,server_run_qwen2.5-0.5b_warm_temp_1_0_10_final.txt
qwen2.5-0.5b,warm,1.0,11,2.5308926105499268,18.571285885023347,7.6463165283203125,364.1953125,31.482188572960524,56.845499999999994,37,1,,95,95,server_run_qwen2.5-0.5b_warm_temp_1_0_11.log,server_run_qwen2.5-0.5b_warm_temp_1_0_11_final.txt
