model,mode,temperature,run,ttft_s,tgs_tokens_s,total_latency_s,rss_peak_mb,cpu_avg_percent,temp_avg_c,monitor_samples,pass1,ppl,stream_chunk_count,predicted_n,log_path,final_path
qwen2.5-3b,warm,0.7,1,4.001354455947876,2.322403031197346,23.808424711227417,287.140625,10.592997079875685,71.93400854700855,116,1,,46,46,/dev/shm/npu_stress_t07_warm_results/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_1.log,/dev/shm/npu_stress_t07_warm_results/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_1_final.txt
qwen2.5-3b,warm,0.7,2,3.9366345405578613,2.3465921600262503,22.687229871749878,278.92578125,10.77776535163606,72.11727678571431,111,1,,44,44,/dev/shm/npu_stress_t07_warm_results/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_2.log,/dev/shm/npu_stress_t07_warm_results/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_2_final.txt
qwen2.5-3b,warm,0.7,3,3.874605894088745,2.3345895379385104,25.29164695739746,278.95703125,9.516765218867738,72.20167999999997,124,1,,50,50,/dev/shm/npu_stress_t07_warm_results/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_3.log,/dev/shm/npu_stress_t07_warm_results/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_3_final.txt
qwen2.5-3b,warm,0.7,4,4.69679069519043,2.3450626675068316,26.87103819847107,365.08984375,11.890200304373874,72.32100757575753,131,1,,52,52,/dev/shm/npu_stress_t07_warm_results/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_4.log,/dev/shm/npu_stress_t07_warm_results/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_4_final.txt
qwen2.5-3b,warm,0.7,5,3.9273993968963623,2.3378242004981566,27.453548192977905,392.24609375,8.998468937978851,72.431911111111,134,1,,55,55,/dev/shm/npu_stress_t07_warm_results/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_5.log,/dev/shm/npu_stress_t07_warm_results/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_5_final.txt
qwen2.5-3b,warm,0.7,6,3.695775270462036,2.3543781638551917,24.083324193954468,368.24609375,9.38246559503544,72.47199999999998,118,1,,48,48,/dev/shm/npu_stress_t07_warm_results/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_6.log,/dev/shm/npu_stress_t07_warm_results/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_6_final.txt
qwen2.5-3b,warm,0.7,7,3.9030728340148926,2.34707840616893,22.223721981048584,396.6796875,10.976937275804907,72.59680000000002,109,1,,43,43,/dev/shm/npu_stress_t07_warm_results/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_7.log,/dev/shm/npu_stress_t07_warm_results/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_7_final.txt
qwen2.5-3b,warm,0.7,8,3.643004894256592,2.339602451926467,25.01415705680847,371.65234375,9.045948200749732,72.67697560975607,122,1,,50,50,/dev/shm/npu_stress_t07_warm_results/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_8.log,/dev/shm/npu_stress_t07_warm_results/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_8_final.txt
qwen2.5-3b,warm,0.7,9,3.8982129096984863,2.3375764956497886,23.148919820785522,400.046875,10.483765745987922,72.62714912280703,113,1,,45,45,/dev/shm/npu_stress_t07_warm_results/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_9.log,/dev/shm/npu_stress_t07_warm_results/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_9_final.txt
qwen2.5-3b,warm,0.7,10,3.716059923171997,2.3430035112388716,23.348979711532593,371.67578125,9.541066510519764,72.81519999999999,114,1,,46,46,/dev/shm/npu_stress_t07_warm_results/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_10.log,/dev/shm/npu_stress_t07_warm_results/open_w5/qwen2.5-3b/server_run_qwen2.5-3b_warm_temp_0_7_10_final.txt
